Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Odell Beckham,WR,NYG,1.8,0.0,7.2,98.7,0.7
Antonio Brown,WR,PIT,0.0,0.0,6.9,92.0,0.8
Michael Thomas,WR,NO,0.0,0.0,7.9,95.6,0.7
DeAndre Hopkins,WR,HOU,0.2,0.0,6.9,95.3,0.7
Julio Jones,WR,ATL,0.8,0.0,6.4,93.5,0.6
A.J. Green,WR,CIN,0.0,0.0,6.1,79.6,0.7
Tyreek Hill,WR,KC,4.5,0.0,5.2,74.6,0.6
T.Y. Hilton,WR,IND,0.0,0.0,5.3,74.1,0.7
Mike Evans,WR,TB,0.1,0.0,5.9,80.5,0.6
Davante Adams,WR,GB,0.0,0.0,5.6,69.5,0.8
JuJu Smith-Schuster,WR,PIT,0.0,0.0,5.7,74.7,0.6
Jarvis Landry,WR,CLE,0.4,0.0,6.6,82.0,0.5
Emmanuel Sanders,WR,DEN,2.0,0.0,5.7,77.7,0.5
Adam Thielen,WR,MIN,0.7,0.0,6.7,82.7,0.5
Brandin Cooks,WR,LAR,1.9,0.0,5.0,72.7,0.6
Will Fuller,WR,HOU,0.3,0.0,4.4,67.4,0.6
Stefon Diggs,WR,MIN,1.9,0.0,5.3,67.4,0.6
Demaryius Thomas,WR,HOU,0.0,0.0,5.7,67.0,0.6
Golden Tate,WR,PHI,1.3,0.0,6.1,69.5,0.5
Robert Woods,WR,LAR,2.9,0.0,5.0,63.7,0.5
Allen Robinson,WR,CHI,0.0,0.0,5.2,67.7,0.5
Sterling Shepard,WR,NYG,0.6,0.0,5.2,64.4,0.5
Kenny Stills,WR,MIA,0.0,0.0,4.6,64.8,0.5
Kenny Golladay,WR,DET,0.2,0.0,4.6,64.9,0.5
Amari Cooper,WR,DAL,1.2,0.0,4.8,60.4,0.5
John Brown,WR,BAL,1.3,0.0,4.0,58.4,0.5
Corey Davis,WR,TEN,0.0,0.0,4.7,60.6,0.5
Geronimo Allison,WR,GB,0.0,0.0,4.7,56.4,0.5
Keelan Cole,WR,JAX,0.0,0.0,4.0,56.1,0.5
Tyler Lockett,WR,SEA,3.0,0.0,3.8,54.2,0.4
Quincy Enunwa,WR,NYJ,0.1,0.0,4.8,59.1,0.4
Calvin Ridley,WR,ATL,2.7,0.0,4.1,52.1,0.5
Mike Williams,WR,LAC,0.0,0.0,3.6,49.1,0.5
Cooper Kupp,WR,LAR,2.0,0.0,4.4,57.6,0.4
Marvin Jones,WR,DET,0.0,0.0,4.0,58.3,0.3
Tyler Boyd,WR,CIN,1.8,0.0,4.6,57.9,0.3
Nelson Agholor,WR,PHI,2.6,0.0,5.1,56.6,0.3
Doug Baldwin,WR,SEA,0.2,0.0,4.6,57.6,0.3
Sammy Watkins,WR,KC,3.1,0.0,4.0,54.6,0.3
Chris Hogan,WR,NE,0.6,0.0,3.7,50.1,0.4
Michael Crabtree,WR,BAL,0.0,0.0,4.8,53.9,0.3
Danny Amendola,WR,MIA,0.1,0.0,4.5,47.8,0.4
Alshon Jeffery,WR,PHI,0.0,0.0,3.1,44.7,0.4
Ted Ginn,WR,NO,4.1,0.0,3.7,48.8,0.3
Larry Fitzgerald,WR,ARI,0.0,0.0,4.9,52.0,0.2
DeSean Jackson,WR,TB,0.7,0.0,3.3,50.6,0.2
Antonio Callaway,WR,CLE,2.1,0.0,3.3,47.7,0.2
Josh Gordon,WR,NE,0.5,0.0,3.0,43.0,0.3
Jordy Nelson,WR,OAK,0.0,0.0,3.8,47.4,0.2
Albert Wilson,WR,MIA,3.3,0.0,3.1,43.0,0.2
Chris Godwin,WR,TB,0.0,0.0,3.5,47.0,0.2
Marquise Goodwin,WR,SF,1.4,0.0,3.1,44.1,0.2
