Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Chargers, LAC",1.5,0.0,2.8,34.3,0.9,1.2,0.08,17.0,193.0,90.0,283,14,DST
"Broncos, DEN",0.8,0.0,2.6,39.1,1.0,1.4,0.21,20.1,163.0,106.0,269,13,DST
"Rams, LAR",0.7,0.0,3.0,40.1,0.9,1.2,0.04,15.4,152.0,124.0,276,12,DST
"Redskins, WAS",1.5,0.1,2.1,38.4,0.9,1.2,0.15,18.1,218.0,112.0,330,12,DST
"Chiefs, KC",1.1,0.0,2.3,40.6,1.0,1.4,0.24,16.3,216.0,102.0,318,11,DST
"Patriots, NE",1.7,0.0,2.4,41.8,0.8,1.1,0.03,14.9,198.0,115.0,313,11,DST
"Eagles, PHI",1.0,0.0,1.9,40.5,1.1,1.5,0.23,19.4,248.0,89.0,337,11,DST
"Titans, TEN",1.3,0.0,2.9,38.3,0.6,0.9,0.1,20.5,204.0,96.0,300,11,DST
"Seahawks, SEA",1.0,0.2,2.5,41.0,0.8,1.1,0.12,16.6,221.0,91.0,312,11,DST
"Giants, NYG",1.3,0.0,2.0,44.4,0.8,1.2,0.14,20.6,217.0,104.0,321,11,DST
"Packers, GB",0.9,0.1,2.7,41.3,0.6,0.8,0.15,19.5,222.0,98.0,320,10,DST
"49ers, SF",1.1,0.0,2.0,36.5,0.7,0.9,0.15,18.7,203.0,99.0,302,10,DST
"Bills, BUF",1.0,0.0,2.7,37.3,0.6,0.8,0.08,18.0,216.0,104.0,320,10,DST
"Steelers, PIT",1.1,0.0,1.9,43.8,0.8,1.1,0.1,18.2,241.0,90.0,331,10,DST
"Bengals, CIN",1.3,0.0,1.8,44.5,0.5,0.7,0.1,18.1,183.0,132.0,315,10,DST
"Browns, CLE",1.3,0.0,2.1,42.7,1.0,1.3,0.18,23.8,275.0,105.0,380,9,DST
"Texans, HOU",0.7,0.0,2.4,42.5,0.8,1.1,0.05,16.9,201.0,108.0,309,9,DST
"Raiders, OAK",1.3,0.0,2.1,42.0,0.9,1.2,0.15,23.5,262.0,105.0,367,9,DST
"Panthers, CAR",0.9,0.0,2.5,42.8,0.8,1.2,0.24,24.6,263.0,92.0,355,9,DST
"Cowboys, DAL",0.7,0.0,2.1,41.5,0.7,0.9,0.07,18.7,234.0,83.0,317,9,DST
"Saints, NO",0.9,0.0,1.9,44.1,1.1,1.5,0.18,22.6,262.0,120.0,382,8,DST
"Buccaneers, TB",1.1,0.1,2.0,47.6,1.1,1.6,0.06,26.9,311.0,102.0,413,8,DST
"Cardinals, ARI",1.1,0.0,2.8,42.0,0.7,1.0,0.09,23.9,232.0,112.0,344,8,DST
"Falcons, ATL",0.9,0.0,1.7,44.0,0.9,1.3,0.22,27.0,228.0,130.0,358,8,DST
"Vikings, MIN",0.6,0.0,2.5,42.2,0.9,1.2,0.15,24.9,214.0,121.0,335,8,DST
"Dolphins, MIA",0.7,0.0,2.7,40.6,0.5,0.7,0.19,22.4,171.0,162.0,333,8,DST
"Bears, CHI",1.0,0.0,2.5,44.4,0.7,1.0,0.05,23.9,267.0,107.0,374,8,DST
"Ravens, BAL",0.9,0.0,1.9,43.6,0.7,0.9,0.09,23.6,250.0,99.0,349,7,DST
"Jaguars, JAC",0.7,0.0,2.0,40.9,0.8,1.1,0.1,24.9,199.0,114.0,313,7,DST
"Lions, DET",0.4,0.0,1.8,46.9,0.7,1.0,0.09,24.5,223.0,149.0,372,6,DST
"Colts, IND",0.8,0.0,1.5,43.6,0.7,1.0,0.13,30.5,253.0,116.0,369,5,DST
