Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,@Sea,W 34-31,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,@LAC,L 24-54,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,Det,L 24-27,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,@Den,W 20-17,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,Jax,L 7-19,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,Phi,L 9-37,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,Cin,L 17-20,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,@Chi,W 27-24,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,Bal,L 0-23,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,@Pit,L 17-40,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Chiefs D/ST D/ST,@NYG,L 9-12,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,NE,L 8-33,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,@Min,L 7-24,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,TB,L 20-30,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,LAR,W 24-7,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,@Oak,W 33-8,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,Wsh,W 34-31,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,KC,W 12-9,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Eagles D/ST D/ST,@Dal,W 37-9,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,@Hou,L 21-31,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,Ten,W 40-17,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,Buf,W 54-24,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Seahawks D/ST D/ST,Atl,L 31-34,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,@Mia,W 30-20,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,@NO,L 31-34,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Jaguars D/ST D/ST,@Cle,W 19-7,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,@GB,W 23-0,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,Ari,W 31-21,--,--,--,--,--,--,--,--,DST
