Player,Bye,Proj,Actual,Pts vs.*,Sack,Safe,TFL,Int,Fum Rec,TD,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,Yds,TD,TD,POS
No new player Notes Arizona Ari - DEF Final (L) 23-21 vs Oak,9,72,72,18.8,3.1,0.1,4.9,1.0,0.6,0.2,0.1,0.0,0.8,305,3.6,126.0,0.2,0.1,DST
No new player Notes Los Angeles LAC - DEF Final (L) 23-22 vs Den,8,76,76,19.8,3.2,0.0,5.3,1.0,0.6,0.2,0.0,0.0,0.8,336,3.5,116.0,0.2,0.0,DST
No new player Notes Baltimore Bal - DEF Final (W) 24-21 vs Cin,10,96,96,18.5,2.9,0.1,4.4,0.9,0.6,0.2,0.0,0.0,0.8,330,3.6,63.8,0.2,0.0,DST
No new player Notes Houston Hou - DEF Final (W) 23-21 @ Was,10,116,116,19.3,2.6,0.1,4.0,0.8,0.5,0.2,0.1,0.0,0.3,314,2.5,76.3,0.2,0.1,DST
No new player Notes Pittsburgh Pit - DEF Final (W) 20-16 @ Jax,7,134,134,21.3,2.8,0.1,4.4,0.9,0.6,0.2,0.0,0.1,0.8,370,2.7,82.9,0.2,0.0,DST
No new player Notes New York NYG - DEF Final (W) 38-35 vs TB,9,139,139,25.5,2.5,0.0,3.2,1.0,0.6,0.2,0.1,0.1,0.9,378,3.6,87.3,0.2,0.1,DST
No new player Notes New Orleans NO - DEF Final (W) 48-7 vs Phi,6,149,149,24.8,2.8,0.0,3.9,0.9,0.6,0.1,0.1,0.0,0.5,387,3.2,80.0,0.1,0.1,DST
No new player Notes Chicago Chi - DEF Final (W) 25-20 vs Min,5,151,151,22.0,2.6,0.0,3.3,0.9,0.5,0.2,0.1,0.1,0.2,386,2.8,74.1,0.2,0.1,DST
No new player Notes Washington Was - DEF Final (L) 23-21 vs Hou,4,156,156,22.3,2.9,0.0,3.9,0.9,0.6,0.2,0.0,0.0,0.5,362,2.9,71.3,0.2,0.0,DST
No new player Notes Atlanta Atl - DEF Final (L) 22-19 vs Dal,8,168,168,23.0,2.7,0.0,4.2,0.9,0.6,0.1,0.0,0.0,0.4,376,3.2,75.5,0.1,0.0,DST
No new player Notes Minnesota Min - DEF Final (L) 25-20 @ Chi,10,171,171,21.5,2.5,0.1,4.2,0.8,0.5,0.2,0.1,0.0,0.7,382,3.1,71.8,0.2,0.1,DST
No new player Notes Seattle Sea - DEF Final (W) 27-24 vs GB,7,185,185,23.5,2.4,0.1,3.6,0.8,0.6,0.1,0.0,0.1,0.5,363,3.4,99.1,0.1,0.0,DST
No new player Notes Tennessee Ten - DEF Final (L) 38-10 @ Ind,8,190,190,25.0,2.4,0.0,3.2,0.7,0.5,0.1,0.1,0.1,0.3,395,2.6,73.9,0.1,0.1,DST
No new player Notes Carolina Car - DEF Final (L) 20-19 @ Det,4,201,201,23.8,2.9,0.0,4.4,1.0,0.6,0.1,0.0,0.1,0.9,375,3.5,34.9,0.1,0.0,DST
No new player Notes Cincinnati Cin - DEF Final (L) 24-21 @ Bal,9,206,206,25.0,2.4,0.0,3.5,0.8,0.5,0.1,0.0,0.1,0.6,333,2.6,76.8,0.1,0.0,DST
No new player Notes Green Bay GB - DEF Final (L) 27-24 @ Sea,7,212,212,25.5,2.4,0.0,3.3,0.8,0.6,0.1,0.0,0.0,0.3,414,3.3,59.2,0.1,0.0,DST
No new player Notes Indianapolis Ind - DEF Final (W) 38-10 vs Ten,9,227,227,24.5,3.0,0.0,3.5,1.1,0.5,0.1,0.0,0.0,0.4,355,2.9,42.9,0.1,0.0,DST
No new player Notes Detroit Det - DEF Final (W) 20-19 vs Car,6,228,228,25.3,2.3,0.0,3.1,0.8,0.6,0.1,0.0,0.1,0.4,392,2.4,66.5,0.1,0.0,DST
No new player Notes Dallas Dal - DEF Final (W) 22-19 @ Atl,8,270,270,26.5,2.3,0.0,3.3,0.8,0.5,0.1,0.0,0.0,0.5,406,2.3,53.7,0.1,0.0,DST
No new player Notes Jacksonville Jax - DEF Final (L) 20-16 vs Pit,9,283,283,25.8,2.1,0.1,4.0,0.8,0.5,0.2,0.1,0.0,0.4,406,3.0,49.7,0.2,0.1,DST
No new player Notes Oakland Oak - DEF Final (W) 23-21 @ Ari,7,288,288,22.3,2.5,0.1,3.4,0.8,0.6,0.1,0.0,0.0,0.3,353,2.7,35.9,0.1,0.0,DST
No new player Notes Tampa Bay TB - DEF Final (L) 38-35 @ NYG,5,299,299,28.5,2.4,0.0,3.2,0.7,0.5,0.1,0.1,0.1,0.5,395,2.1,81.9,0.1,0.1,DST
No new player Notes Denver Den - DEF Final (W) 23-22 @ LAC,10,308,308,26.8,2.0,0.0,2.7,0.6,0.4,0.2,0.1,0.1,0.3,427,2.8,34.6,0.2,0.1,DST
No new player Notes Philadelphia Phi - DEF Final (L) 48-7 @ NO,9,322,322,32.3,1.8,0.0,2.8,0.6,0.4,0.1,0.0,0.1,0.5,488,1.9,50.5,0.1,0.0,DST
No new player Notes Los Angeles LAR - DEF Final (W) 54-51 vs KC,12,359,359,30.0,2.1,0.0,3.5,0.7,0.4,0.1,0.0,0.0,0.2,468,2.3,36.0,0.1,0.0,DST
No new player Notes Kansas City KC - DEF Final (L) 54-51 @ LAR,12,414,414,33.0,2.0,0.0,2.5,0.7,0.4,0.1,0.0,0.0,0.6,484.0,2.3,34.4,0.1,0.0,DST
No new player Notes Buffalo Buf - DEF Bye,11,1564,1564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
No new player Notes San Francisco SF - DEF Bye,11,1569,1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
No new player Notes New York NYJ - DEF Bye,11,1568,1568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
No new player Notes New England NE - DEF Bye,11,1567,1567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
No new player Notes Miami Mia - DEF Bye,11,1566,1566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
No new player Notes Cleveland Cle - DEF Bye,11,1565,1565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
