Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Chicago Bears,CHI,1.0,3.0,0.0,1.0,1.0,0.0,0.0,132.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,352.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,341.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,0.0,0.0,1.0,0.0,0.0,147.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,0.0,0.0,1.0,0.0,1.0,13.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,190.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,0.0,1.0,3.0,0.0,0.0,98.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,284.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,3.0,2.0,2.0,1.0,0.0,60.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,448.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,1.0,1.0,4.0,0.0,0.0,67.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,357.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,5.0,1.0,1.0,2.0,0.0,18.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,393.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,383.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,96.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,321.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
