Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Jaguars, JAC",1.3,0.0,3.4,37.8,1.0,1.4,0.34,11.3,117.0,118.0,235,20,DST
"Ravens, BAL",1.8,0.0,2.6,37.3,0.6,0.8,0.33,15.5,147.0,99.0,246,17,DST
"Broncos, DEN",0.8,0.0,3.0,37.5,0.9,1.3,0.21,16.8,178.0,70.0,248,15,DST
"Cardinals, ARI",1.1,0.0,2.3,39.0,0.8,1.1,0.24,14.8,142.0,105.0,247,15,DST
"Lions, DET",0.7,0.1,2.3,38.7,0.9,1.3,0.3,13.5,152.0,116.0,268,15,DST
"Steelers, PIT",1.2,0.0,2.6,40.7,1.0,1.3,0.3,16.3,174.0,117.0,291,14,DST
"Bengals, CIN",1.4,0.0,2.8,41.4,0.8,1.1,0.25,18.1,185.0,103.0,288,14,DST
"Chiefs, KC",1.1,0.0,1.7,41.0,0.9,1.2,0.38,13.8,181.0,120.0,301,13,DST
"Chargers, LAC",0.6,0.0,3.3,40.7,0.7,1.0,0.22,15.7,146.0,129.0,275,13,DST
"Texans, HOU",1.4,0.1,2.3,42.4,0.8,1.1,0.27,17.7,217.0,95.0,312,12,DST
"Packers, GB",1.4,0.0,2.1,46.0,0.8,1.1,0.29,18.1,220.0,105.0,325,12,DST
"Dolphins, MIA",1.3,0.0,1.8,40.6,0.8,1.1,0.31,16.7,242.0,95.0,337,11,DST
"Vikings, MIN",0.7,0.1,2.2,40.3,0.9,1.3,0.29,20.7,204.0,100.0,304,11,DST
"Buccaneers, TB",0.9,0.0,1.8,41.2,0.9,1.2,0.2,18.5,227.0,88.0,315,10,DST
"Seahawks, SEA",0.7,0.0,2.3,41.9,0.7,0.9,0.21,20.1,258.0,107.0,365,10,DST
"Patriots, NE",0.8,0.0,1.4,40.2,0.7,1.0,0.31,18.3,243.0,102.0,345,10,DST
"Eagles, PHI",0.5,0.0,1.6,43.0,1.1,1.5,0.24,20.0,191.0,136.0,327,10,DST
"Bears, CHI",0.7,0.0,3.9,42.0,0.8,1.0,0.2,21.9,233.0,89.0,322,10,DST
"Falcons, ATL",1.0,0.1,2.6,43.2,0.7,0.9,0.21,21.6,218.0,112.0,330,9,DST
"Saints, NO",0.8,0.0,2.0,42.9,1.1,1.5,0.26,21.7,253.0,111.0,364,9,DST
"Cowboys, DAL",0.7,0.0,2.6,46.4,0.9,1.2,0.2,26.2,235.0,128.0,363,9,DST
"Rams, LAR",0.7,0.0,1.9,44.3,1.1,1.5,0.24,22.3,207.0,110.0,317,8,DST
"Bills, BUF",1.1,0.0,1.6,40.5,0.7,1.0,0.22,21.3,245.0,92.0,337,8,DST
"Titans, TEN",1.3,0.0,1.2,43.4,0.5,0.7,0.22,24.0,237.0,98.0,335,8,DST
"Browns, CLE",0.7,0.0,1.1,49.0,0.8,1.1,0.17,21.0,155.0,167.0,322,7,DST
"Giants, NYG",0.4,0.0,1.6,43.0,0.6,0.9,0.15,25.7,222.0,131.0,353,6,DST
"Redskins, WAS",0.8,0.0,1.3,47.5,0.9,1.3,0.26,31.5,290.0,126.0,416,6,DST
