Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Greg Zuerlein, LAR K",Phi,L 23-30,1.4/1.4,0.7/0.8,0.3/0.4,2.3/2.6,3.2/3.3,10.9,K
"Justin Tucker, Bal K",TB,W 20-12,1.3/1.4,0.7/0.8,0.3/0.4,2.3/2.5,2.5/2.6,10.3,K
"Stephen Hauschka, Buf K",Det,W 14-13,1.3/1.4,0.6/0.8,0.2/0.4,2.1/2.5,2.2/2.3,9.4,K
"Brett Maher, Dal K",@Ind,L 0-23,1.3/1.4,0.6/0.8,0.2/0.4,2.1/2.5,2.1/2.3,9.1,K
"Ka'imi Fairbairn, Hou K",@NYJ,W 29-22,1.2/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2.2/2.4,9.1,K
"Harrison Butker, KC K",LAC,L 28-29,1/1.1,0.5/0.6,0.2/0.3,1.6/2,3.5/3.7,9,K
"Aldrick Rosas, NYG K",Ten,L 0-17,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.5,1.9/2,8.9,K
"Wil Lutz, NO K",@Car,W 12-9,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,3.4/3.6,8.7,K
"Stephen Gostkowski, NE K",@Pit,L 10-17,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2.7/2.8,8.7,K
"Ryan Succop, Ten K",@NYG,W 17-0,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.1/2.2,8.5,K
"Jason Myers, NYJ K",Hou,L 22-29,1.2/1.3,0.6/0.7,0.2/0.3,2/2.3,1.6/1.6,8.4,K
"Adam Vinatieri, Ind K",Dal,W 23-0,1/1,0.5/0.6,0.2/0.3,1.6/1.9,2.6/2.7,8,K
"Cody Parkey, Chi K",GB,W 24-17,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.5/2.8,7.9,K
"Matt Bryant, Atl K",Ari,W 40-14,0.9/0.9,0.5/0.5,0.2/0.3,1.6/1.7,2.5/2.5,7.9,K
