Player,FG,FGA,XPT,FPTS,POS
Greg Zuerlein LAR,2.3,2.5,3.1,9.9,K
Stephen Gostkowski NE,2.0,2.3,2.9,9.0,K
Harrison Butker KC,2.0,2.3,3.0,8.9,K
Justin Tucker BAL,2.1,2.2,2.6,8.7,K
Wil Lutz NO,1.8,2.0,3.2,8.6,K
Brett Maher DAL,2.0,2.4,2.4,8.5,K
Ka'imi Fairbairn HOU,2.0,2.3,2.2,8.3,K
Dan Bailey MIN,1.8,2.3,2.7,8.2,K
Ryan Succop TEN,1.9,2.2,2.2,7.9,K
Cody Parkey CHI,1.8,2.1,2.5,7.9,K
Adam Vinatieri IND,1.7,2.0,2.8,7.9,K
Sebastian Janikowski SEA,1.7,2.0,2.7,7.9,K
Greg Joseph CLE,1.8,2.1,2.4,7.8,K
Matt Bryant ATL,1.7,1.9,2.7,7.8,K
Josh Lambo JAC,1.8,1.9,2.2,7.7,K
Jason Myers NYJ,1.9,2.1,1.9,7.6,K
Brandon McManus DEN,1.7,2.1,2.5,7.6,K
Aldrick Rosas NYG,1.9,2.1,1.9,7.6,K
Robbie Gould SF,1.9,2.0,1.9,7.5,K
Michael Badgley LAC,1.6,1.8,2.6,7.5,K
Daniel Carlson OAK,1.7,2.1,2.0,7.1,K
Steven Hauschka BUF,1.7,2.0,1.9,7.1,K
Mason Crosby GB,1.7,2.0,2.0,7.0,K
Jason Sanders MIA,1.7,1.9,1.7,6.9,K
Jake Elliott PHI,1.5,1.8,2.2,6.9,K
Randy Bullock CIN,1.6,1.9,2.0,6.8,K
Kai Forbath JAC,1.6,2.0,1.8,6.7,K
Matt Prater DET,1.5,1.7,1.8,6.3,K
Chandler Catanzaro CAR,1.4,1.6,1.9,6.1,K
Cairo Santos TB,1.3,1.6,1.9,5.8,K
Dustin Hopkins WAS,1.3,1.5,1.5,5.5,K
Zane Gonzalez ARI,1.2,1.6,1.7,5.4,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Matt McCrane PIT,0.0,0.0,0.0,0.0,K
