Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Jason Witten, Dal TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Antonio Gates, LAC TE",@Oak,W 17-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Winslow, NYJ TE",NE,L 17-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Benjamin Watson, NO TE",Det,W 52-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Alex Smith, Wsh TE",SF,W 26-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Vernon Davis, Wsh TE",SF,W 26-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Marcedes Lewis, Jax TE",LAR,L 17-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony Fasano, Mia TE",@Atl,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Owen Daniels, Den TE",NYG,L 10-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Delanie Walker, Ten TE",Ind,W 36-22,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Daniel Fells, NYG TE",@Den,W 23-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Olsen, Car TE",Phi,L 23-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matt Spaeth, Pit TE",@KC,W 19-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Scott Chandler*, NE TE",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brent Celek, Phi TE",@Car,W 28-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clark Harris, Cin TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Fred Davis, Wsh TE",SF,W 26-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Martellus Bennett, NE TE",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Craig Stevens, Ten TE",Ind,W 36-22,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Gary Barnidge, Cle TE",@Hou,L 17-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jacob Tamme, Atl TE",Mia,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Davis, NYJ TE",NE,L 17-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matthew Mulligan, Det TE",@NO,L 38-52,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Johnson, Pit TE",@KC,W 19-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"James Casey, Den TE",NYG,L 10-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chase Coffman, Ind TE",@Ten,L 22-36,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jared Cook, Oak TE",LAC,L 16-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Bear Pascoe, NE TE",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Pettigrew, Det TE",@NO,L 38-52,--/--,--,--,--,--,--,--,--,--,--,--,TE
"John Phillips, NO TE",Det,W 52-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Zach Miller*, Chi TE",@Bal,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Myers, TB TE",@Ari,L 33-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jermaine Gresham, Ari TE",TB,W 38-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rob Gronkowski, NE TE",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dennis Pitta*, Bal TE",Chi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jimmy Graham, GB TE",@Min,L 10-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ed Dickson, Sea TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Tony Moeaki, Chi TE",@Bal,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jim Dray, Ari TE",TB,W 38-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Graham, Den TE",NYG,L 10-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clay Harbor, NO TE",Det,W 52-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Michael Hoomanawanui, NO TE",Det,W 52-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony McCoy, Sea TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Andrew Quarless, Det TE",@NO,L 38-52,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Richie Brockel, Car TE",Phi,L 23-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jeff Cumberland, LAC TE",@Oak,W 17-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Logan Paulsen, Atl TE",Mia,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Lance Kendricks, GB TE",@Min,L 10-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rob Housler, NE TE",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kyle Rudolph, Min TE",GB,W 23-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Bruce Miller, SF TE",@Wsh,L 24-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Virgil Green, LAC TE",@Oak,W 17-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Luke Stocker, Ten TE",Ind,W 36-22,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Ausberry, Det TE",@NO,L 38-52,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Charles Clay, Buf TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Niles Paul, Jax TE",LAR,L 17-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"D.J. Williams, Wsh TE",SF,W 26-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jordan Cameron, Mia TE",@Atl,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Julius Thomas, Mia TE",@Atl,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Lee Smith, Oak TE",LAC,L 16-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Coby Fleener, NO TE",Det,W 52-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dwayne Allen, NE TE",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Orson Charles, KC TE",Pit,L 13-19,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ladarius Green, Pit TE",@KC,W 19-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"James Hanna, Dal TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Rhett Ellison, NYG TE",@Den,W 23-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Scruggs, NE TE",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Celek, SF TE",@Wsh,L 24-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Phillip Supernaw, Ten TE",Ind,W 36-22,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Beau Brinkley, Ten TE",Ind,W 36-22,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dominique Jones, Mia TE",@Atl,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Derek Carrier, Oak TE",LAC,L 16-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Sean McGrath, LAC TE",@Oak,W 17-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chase Ford, Bal TE",Chi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Cooper Helfet, Oak TE",LAC,L 16-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Bostick, NYJ TE",NE,L 17-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Larry Donnell, Bal TE",Chi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ifeanyi Momah, Ari TE",TB,W 38-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Tyler Eifert, Cin TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Zach Ertz, Phi TE",@Car,W 28-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Gavin Escobar, Cle TE",@Hou,L 17-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Travis Kelce, KC TE",Pit,L 13-19,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Vance McDonald, Pit TE",@KC,W 19-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jordan Reed, Wsh TE",SF,W 26-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ryan Griffin, Hou TE",Cle,W 33-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Michael Williams, NE TE",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Mychal Rivera, Jax TE",LAR,L 17-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chris Gragg, NYJ TE",NE,L 17-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dion Sims, Chi TE",@Bal,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Levine Toilolo, Det TE",@NO,L 38-52,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Justice Cunningham, LAR TE",@Jax,W 27-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Luke Willson, Det TE",@NO,L 38-52,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Josh Hill, NO TE",Det,W 52-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
