Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.03,0.0,0.84,9.44,0.07,TE
Mark Andrews,BAL,1.0,0.04,0.0,2.12,25.49,0.22,TE
Antony Auclair,TB,1.0,0.06,0.0,0.18,3.15,0.02,TE
Blake Bell,JAX,1.0,0.02,0.0,0.61,4.57,0.04,TE
Nick Boyle,BAL,1.0,0.08,0.0,1.76,14.74,0.09,TE
Cameron Brate,TB,1.0,0.03,0.0,2.92,35.92,0.17,TE
Ben Braunecker,CHI,1.0,0.02,0.0,0.21,2.95,0.04,TE
Daniel Brown,CHI,1.0,0.03,0.0,0.2,2.75,0.03,TE
Trey Burton,CHI,1.0,0.25,0.0,2.63,31.3,0.2,TE
Derek Carrier,OAK,1.0,0.03,0.0,0.43,4.19,0.04,TE
Garrett Celek,SF,1.0,0.02,0.0,0.36,3.46,0.04,TE
Orson Charles,CLE,1.0,0.02,0.0,0.13,1.73,0.03,TE
Charles Clay,BUF,1.0,0.16,0.0,2.07,24.79,0.14,TE
Tyler Conklin,MIN,1.0,0.02,0.0,0.28,1.1,0.02,TE
Jared Cook,OAK,1.0,0.07,0.0,3.76,48.54,0.36,TE
Alan Cross,TB,1.0,0.03,0.0,0.3,2.72,0.03,TE
Vernon Davis,WAS,1.0,0.03,0.0,1.75,19.11,0.14,TE
Seth DeValve,CLE,1.0,0.02,0.0,0.52,6.65,0.06,TE
Ed Dickson,SEA,1.0,0.03,0.0,0.92,11.3,0.08,TE
Ross Dwelley,SF,1.0,0.03,0.0,0.18,2.56,0.03,TE
Eric Ebron,IND,1.0,2.23,0.01,5.31,57.28,0.5,TE
Rhett Ellison,NYG,1.0,0.09,0.0,2.14,24.25,0.11,TE
Evan Engram,NYG,1.0,0.93,0.0,3.62,38.92,0.29,TE
Zach Ertz,PHI,1.0,0.08,0.0,6.25,70.97,0.53,TE
Gerald Everett,LA,1.0,0.04,0.0,2.23,26.81,0.17,TE
Darren Fells,CLE,1.0,0.05,0.0,0.23,3.41,0.04,TE
