Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,0.0,0.0,0.0,0.0,61.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,428.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,2.0,0.0,0.0,0.0,46.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,263.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,5.0,1.0,1.0,1.0,0.0,44.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,222.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,3.0,0.0,1.0,2.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,277.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,5.0,2.0,1.0,1.0,0.0,12.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,215.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,1.0,0.0,1.0,0.0,37.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,301.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,4.0,0.0,0.0,0.0,0.0,64.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,307.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,0.0,1.0,1.0,0.0,61.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,288.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,2.0,0.0,0.0,0.0,81.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,275.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,0.0,0.0,0.0,0.0,125.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,436.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,3.0,0.0,0.0,1.0,0.0,85.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,331.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,1.0,1.0,0.0,0.0,0.0,53.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,295.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,0.0,0.0,1.0,0.0,63.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,362.0,0.0,1.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,1.0,2.0,0.0,0.0,1.0,57.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,378.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,366.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,6.0,1.0,0.0,1.0,0.0,92.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,284.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,354.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,0.0,0.0,0.0,0.0,171.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,408.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,1.0,0.0,0.0,1.0,81.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,571.0,0.0,0.0,0.0,1.0,DST
New England Patriots,NE,1.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,378.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,0.0,1.0,3.0,0.0,156.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,412.0,0.0,0.0,1.0,0.0,DST
Los Angeles Rams,LA,1.0,3.0,3.0,2.0,2.0,0.0,73.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,1.0,0.0,DST
Baltimore Ravens,BAL,1.0,0.0,0.0,1.0,1.0,0.0,165.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,261.0,1.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,1.0,1.0,2.0,2.0,0.0,26.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,380.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,3.0,1.0,2.0,2.0,0.0,61.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,346.0,0.0,1.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,4.0,3.0,0.0,1.0,0.0,37.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,305.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,4.0,1.0,1.0,2.0,0.0,4.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,357.0,0.0,1.0,0.0,0.0,DST
Houston Texans,HOU,1.0,1.0,1.0,0.0,1.0,0.0,112.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,1.0,2.0,0.0,0.0,0.0,143.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,359.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,0.0,1.0,1.0,0.0,0.0,42.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,339.0,0.0,1.0,0.0,0.0,DST
