Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Broncos, DEN",1.4,0.0,3.1,40.1,1.1,1.5,0.15,17.6,194.0,96.0,290,15,DST
"Lions, DET",1.3,0.0,3.0,37.4,0.8,1.1,0.03,17.4,191.0,93.0,284,13,DST
"Cardinals, ARI",1.1,0.0,2.0,36.9,0.8,1.1,0.22,14.1,151.0,113.0,264,13,DST
"Redskins, WAS",1.0,0.0,3.2,38.5,1.1,1.6,0.15,16.9,234.0,119.0,353,12,DST
"Vikings, MIN",1.0,0.0,3.0,42.7,1.0,1.4,0.21,16.9,233.0,99.0,332,12,DST
"Seahawks, SEA",1.2,0.0,2.0,40.3,0.7,1.0,0.07,18.9,180.0,103.0,283,12,DST
"Jets, NYJ",1.1,0.0,3.5,46.5,0.8,1.1,0.09,20.4,246.0,143.0,389,11,DST
"Texans, HOU",1.0,0.0,2.9,36.6,1.2,1.6,0.06,14.4,193.0,107.0,300,11,DST
"Colts, IND",1.6,0.0,3.1,36.4,0.9,1.2,0.18,23.4,231.0,85.0,316,11,DST
"Bengals, CIN",1.1,0.0,2.5,38.4,0.7,0.9,0.07,15.2,221.0,91.0,312,10,DST
"Patriots, NE",0.6,0.0,2.7,40.2,0.8,1.1,0.16,16.3,182.0,129.0,311,10,DST
"Steelers, PIT",0.6,0.0,2.8,43.1,1.3,1.8,0.3,22.9,222.0,124.0,346,10,DST
"Cowboys, DAL",1.1,0.0,2.4,41.9,0.7,0.9,0.06,19.3,193.0,120.0,313,10,DST
"Jaguars, JAC",1.2,0.1,2.6,42.6,0.9,1.3,0.21,26.5,256.0,92.0,348,10,DST
"Panthers, CAR",1.1,0.0,2.5,42.0,1.0,1.3,0.23,23.3,251.0,95.0,346,10,DST
"49ers, SF",0.9,0.0,2.1,44.6,0.8,1.1,0.08,19.9,233.0,120.0,353,9,DST
"Falcons, ATL",1.2,0.0,1.8,46.8,0.9,1.2,0.27,24.9,231.0,151.0,382,9,DST
"Ravens, BAL",0.7,0.1,2.1,40.6,0.6,0.8,0.1,18.9,212.0,97.0,309,9,DST
"Rams, LAR",0.9,0.1,2.0,42.4,0.9,1.2,0.27,24.8,273.0,96.0,369,9,DST
"Saints, NO",0.9,0.0,2.2,45.8,1.1,1.6,0.19,26.1,308.0,115.0,423,9,DST
"Giants, NYG",0.8,0.1,2.2,40.6,0.6,0.8,0.25,25.0,196.0,104.0,300,8,DST
"Bears, CHI",0.8,0.1,2.9,45.3,0.6,0.8,0.12,25.4,285.0,96.0,381,8,DST
"Titans, TEN",1.1,0.0,2.6,45.5,0.5,0.8,0.13,22.8,224.0,122.0,346,8,DST
"Browns, CLE",1.2,0.0,1.9,42.5,0.7,1.0,0.13,26.6,290.0,104.0,394,8,DST
"Dolphins, MIA",0.8,0.0,2.7,42.6,0.8,1.1,0.08,23.6,251.0,110.0,361,8,DST
"Chargers, LAC",0.9,0.0,1.9,45.5,0.8,1.1,0.07,22.6,312.0,109.0,421,7,DST
"Chiefs, KC",1.1,0.0,1.8,41.3,0.6,0.8,0.08,23.3,269.0,111.0,380,7,DST
"Raiders, OAK",1.1,0.0,1.5,44.6,0.7,1.0,0.08,24.4,265.0,102.0,367,7,DST
"Buccaneers, TB",1.0,0.0,2.0,45.0,0.7,1.0,0.36,27.2,242.0,100.0,342,7,DST
