Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Mike Williams, KC WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Seyi Ajirotutu, Phi WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Victor Cruz, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Marlon Moore*, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Bryan Walters, Jax WR",LAC,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Preston Parker, FA WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Antonio Brown, Pit WR",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Danario Alexander, LAC WR",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Andrew Hawkins, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Julio Jones, Atl WR",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"A.J. Green, Cin WR",@Ten,L 20-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Leonard Hankerson, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Greg Little, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Vincent Brown, NO WR",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Torrey Smith, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Randall Cobb, GB WR",@Chi,W 23-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Dwayne Harris, Oak WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Greg Salas, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jeremy Kerley, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Denarius Moore, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Aldrick Robinson, SF WR",NYG,W 31-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Cecil Shorts III, TB WR",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Doug Baldwin, Sea WR",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Ricardo Lockette, Sea WR",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Chris Hogan, NE WR",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Andre Holmes, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Joe Morgan, Bal WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Jeremy Ross, Ari WR",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kamar Aiken, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Terrelle Pryor Sr., NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Justin Blackmon, Jax WR",LAC,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Michael Floyd, Min WR",@Wsh,W 38-30,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kendall Wright, Min WR",@Wsh,W 38-30,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Stephen Hill, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Rueben Randle*, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Alshon Jeffery, Phi WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Brian Quick, Wsh WR",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Keshawn Martin, Det WR",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jarius Wright, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Trevor Graham, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Nick Toon, LAR WR",Hou,W 33-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Mohamed Sanu, Atl WR",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"T.Y. Hilton, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"DeVier Posey, Bal WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"LaVon Brazill, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Travis Benjamin, LAC WR",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Marvin Jones Jr., Det WR",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Chris Givens, Phi WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Rishard Matthews, Ten WR",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kashif Moore, KC WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Nathan Palmer, Oak WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Chris Owusu, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brian Tyms, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jeff Fuller, Sea WR",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Cole Beasley, Dal WR",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jarrett Boykin, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Griff Whalen, Oak WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
