Player,Team,Salary
Todd Gurley,LAR,8900
Melvin Gordon,LAC,8200
Matt Breida,SFO,6100
Christian McCaffrey,CAR,7400
Saquon Barkley,NYG,7900
Ezekiel Elliott,DAL,8100
James Conner,PIT,7000
Corey Clement,PHI,5000
Bilal Powell,NYJ,6200
Chris Thompson,WAS,6200
Kenyan Drake,MIA,6600
Alvin Kamara,NOR,9000
Kareem Hunt,KAN,7800
Tevin Coleman,ATL,5900
Marshawn Lynch,OAK,6300
Javorius Allen,BAL,4900
James White,NWE,5900
Phillip Lindsay,DEN,4900
Carlos Hyde,CLE,6300
Austin Ekeler,LAC,5600
Dalvin Cook,MIN,6500
Alex Collins,BAL,6000
Chris Ivory,BUF,5000
Corey Grant,JAC,4800
Jay Ajayi,PHI,6800
Theo Riddick,DET,5400
Joe Mixon,CIN,7100
Kerryon Johnson,DET,6100
Alfred Morris,SFO,5800
LeSean McCoy,BUF,6800
Royce Freeman,DEN,6000
Jamaal Williams,GNB,6100
Jordan Howard,CHI,7400
T.J. Yeldon,JAC,6200
Lamar Miller,HOU,6800
Jordan Wilkins,IND,6000
Nyheim Hines,IND,5500
Malcolm Brown,LAR,5000
Adrian Peterson,WAS,6700
Giovani Bernard,CIN,5200
Derrick Henry,TEN,6200
Ito Smith,ATL,4500
David Johnson,ARI,8400
Jacquizz Rodgers,TAM,4500
Isaiah Crowell,NYJ,6400
Frank Gore,MIA,5300
Dion Lewis,TEN,6500
Sony Michel,NWE,5600
Chase Edmonds,ARI,5000
Ty Montgomery,GNB,5700
Marlon Mack,IND,6000
LeGarrette Blount,DET,5300
C.J. Prosise,SEA,4600
Alfred Blue,HOU,5200
Peyton Barber,TAM,6200
C.J. Anderson,CAR,5300
Tarik Cohen,CHI,5600
Rashaad Penny,SEA,5800
Patrick DiMarco,BUF,4500
Doug Martin,OAK,5100
Kyle Juszczyk,SFO,4500
Chris Carson,SEA,5900
Roosevelt Nix,PIT,4500
Rex Burkhead,NWE,6300
Keith Smith,OAK,4500
Duke Johnson,CLE,5200
Latavius Murray,MIN,5500
Marcus Murphy,BUF,4500
Mike Gillislee,NOR,4600
Wayne Gallman,NYG,4600
Devontae Booker,DEN,5200
Andy Janovich,DEN,4500
Wendell Smallwood,PHI,4500
Nick Chubb,CLE,5200
Stevan Ridley,PIT,4500
Zach Line,NOR,4500
Shaun Wilson,TAM,4500
Mike Davis,SEA,4500
Damien Williams,KAN,4500
C.J. Ham,MIN,4500
Brandon Wilds,ARI,4500
Alex Armah,CAR,4500
Spencer Ware,KAN,5200
Jalen Richard,OAK,4600
Jonathan Stewart,NYG,4700
Derrick Coleman,ARI,4500
Rob Kelley,WAS,4500
Raheem Mostert,SFO,4500
James Develin,NWE,4500
Cameron Artis-Payne,CAR,4500
Tre Madden,SEA,4500
Benny Cunningham,CHI,4500
Senorise Perry,MIA,4500
Tommy Bohanon,JAC,4500
Anthony Sherman,KAN,4500
Brandon Bolden,MIA,4700
Detrez Newsome,LAC,4500
Derek Watt,LAC,4500
Tyler Ervin,HOU,4500
Justin Davis,LAR,4500
Taiwan Jones,BUF,4500
Rod Smith,DAL,5000
Shane Smith,NYG,4000
David Fluellen,TEN,4500
T.J. Logan,ARI,4500
Jamize Olawale,DAL,4500
Trenton Cannon,NYJ,4500
Jonathan Williams,NOR,4500
