Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Frc Fum,Fum Rec,Pass Def,POS,TD
T.J. Logan,ARI,1.0,5.47,0.03,0.5,3.81,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Marshawn Lynch,OAK,1.0,52.64,0.34,1.6,11.46,0.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marlon Mack,IND,1.0,19.61,0.14,1.3,10.59,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tre Madden,SEA,1.0,0.85,0.0,0.35,2.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Doug Martin,OAK,1.0,19.39,0.14,0.75,5.74,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Christian McCaffrey,CAR,1.0,51.27,0.28,5.21,47.84,0.3,0.14,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeSean McCoy,BUF,1.0,64.28,0.43,3.02,26.48,0.15,0.03,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Christine Michael,FA,1.0,13.9,0.09,0.33,2.27,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Sony Michel,NE,1.0,18.09,0.11,0.87,7.14,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Lamar Miller,HOU,1.0,63.39,0.36,2.08,15.93,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Joe Mixon,CIN,1.0,76.57,0.45,2.86,22.44,0.11,0.09,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ty Montgomery,BAL,1.0,22.63,0.17,1.62,12.86,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Alfred Morris,SF,1.0,50.91,0.4,1.1,9.11,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Raheem Mostert,SF,1.0,3.79,0.04,0.41,3.4,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marcus Murphy,BUF,1.0,12.48,0.09,0.59,4.54,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Latavius Murray,MIN,1.0,35.8,0.25,0.79,6.24,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Detrez Newsome,LAC,1.0,4.01,0.02,0.26,1.86,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Roosevelt Nix,PIT,1.0,2.67,0.02,0.22,1.45,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jamize Olawale,DAL,1.0,3.35,0.02,0.64,4.86,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ricky Ortiz,ATL,1.0,2.81,0.02,0.59,4.5,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rashaad Penny,SEA,1.0,23.21,0.13,1.94,17.32,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Senorise Perry,MIA,1.0,2.39,0.01,0.32,2.48,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Adrian Peterson,WAS,1.0,64.06,0.38,1.79,17.42,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Bilal Powell,NYJ,1.0,51.93,0.32,1.53,12.53,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Prosise,SEA,1.0,11.34,0.07,1.15,12.73,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jalen Richard,OAK,1.0,13.34,0.08,2.43,20.81,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Theo Riddick,DET,1.0,17.44,0.1,2.87,23.56,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Stevan Ridley,PIT,1.0,8.71,0.05,0.17,0.95,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jacquizz Rodgers,TB,1.0,8.54,0.05,0.72,5.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jaylen Samuels,PIT,1.0,8.19,0.06,0.63,5.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Anthony Sherman,KC,1.0,4.08,0.03,0.47,3.66,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wendell Smallwood,PHI,1.0,7.59,0.05,0.83,6.92,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
