Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Brandon McManus, DEN",2.2,2.5,0,2.4,2.4,0.0,9,K
"Stephen Hauschka, BUF",2.1,2.4,0,2.4,2.4,0.0,8,K
"Justin Tucker, BAL",2.1,2.2,0,2.1,2.1,0.0,8,K
"Stephen Gostkowski, NE",1.9,2.2,0,2.7,2.7,0.0,8,K
"Wil Lutz, NO",1.7,2.4,0,3.1,3.1,0.0,8,K
"Randy Bullock, CIN",2.0,2.3,0,2.3,2.3,0.0,8,K
"Cairo Santos, TB",1.9,2.2,0,2.6,2.6,0.0,8,K
"Josh Lambo, JAC",1.9,2.2,0,2.6,2.6,0.0,8,K
"Sebastian Janikowski, SEA",1.8,2.3,0,2.7,2.7,0.0,8,K
"Chandler Catanzaro, CAR",1.8,2.0,0,2.7,2.7,0.0,8,K
"Matt Prater, DET",1.8,2.1,0,2.4,2.4,0.0,8,K
"Mason Crosby, GB",1.8,2.0,0,2.6,2.6,0.0,8,K
"Matt Bryant, ATL",1.8,2.0,0,2.5,2.5,0.0,8,K
"Adam Vinatieri, IND",1.8,2.0,0,2.1,2.1,0.0,7,K
"Caleb Sturgis, LAC",1.8,2.2,0,2.1,2.1,0.0,7,K
"Dustin Hopkins, WAS",1.7,2.1,0,2.1,2.1,0.0,7,K
"Dan Bailey, MIN",1.6,1.7,0,2.3,2.3,0.0,7,K
"Nick Folk, TB",1.6,1.9,0,2.4,2.4,0.0,7,K
"Kai Forbath, JAC",1.6,1.9,0,2.0,2.0,0.0,6,K
"Roberto Aguayo, LAC",1.5,2.1,0,2.3,2.3,0.0,6,K
"Phil Dawson, ARI",1.5,1.6,0,2.1,2.1,0.0,6,K
"Nick Novak, LAC",1.6,2.0,0,1.8,1.8,0.0,6,K
"Connor Barth, CHI",1.5,1.8,0,2.1,2.1,0.0,6,K
"Jason Myers, NYJ",1.5,1.8,0,1.7,1.7,0.0,6,K
"Mike Nugent, OAK",1.4,1.8,0,1.9,1.9,0.0,6,K
"Robbie Gould, SF",1.4,1.6,0,1.8,1.8,0.0,6,K
"Graham Gano, CAR",1.3,1.6,0,1.6,1.6,0.0,5,K
"Greg Zuerlein, LAR",1.2,1.5,0,1.4,1.4,0.0,5,K
"Andrew Franks, MIA",1.0,1.3,0,1.8,1.8,0.0,4,K
"Jordan Gay, TEN",0.0,0.0,0,0.0,0.0,0.0,0,K
