Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Philadelphia Eagles,PHI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,70.0,29.0,0.0,0.0,0.0,1.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Atlanta Falcons,ATL,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,125.0,21.0,0.0,0.0,1.0,0.0,0.0,373.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,107.0,34.0,0.0,0.0,0.0,1.0,0.0,341.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,101.0,7.0,1.0,0.0,0.0,0.0,0.0,186.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,106.0,31.0,0.0,0.0,0.0,1.0,0.0,412.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,1.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,0.0,0.0,0.0,1.0,0.0,387.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,50.0,24.0,0.0,0.0,1.0,0.0,0.0,384.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,24.0,0.0,0.0,1.0,0.0,0.0,413.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,103.0,20.0,0.0,1.0,0.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,7.0,0.0,2.0,3.0,1.0,0.0,0.0,180.0,7.0,1.0,0.0,0.0,0.0,0.0,149.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,266.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,113.0,15.0,0.0,1.0,0.0,0.0,0.0,286.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,71.0,19.0,0.0,1.0,0.0,0.0,0.0,294.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,136.0,40.0,0.0,0.0,0.0,0.0,1.0,352.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,27.0,0.0,0.0,1.0,0.0,0.0,360.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0,0.0,0.0,0.0,0.0,1.0,464.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Tennessee Titans,TEN,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,0.0,0.0,1.0,0.0,0.0,414.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,41.0,7.0,1.0,0.0,0.0,0.0,0.0,161.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
