Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,77.0,23.0,0.0,0.0,1.0,0.0,0.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,64.0,20.0,0.0,1.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,28.0,0.0,0.0,0.0,1.0,0.0,346.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,40.0,16.0,0.0,1.0,0.0,0.0,0.0,349.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,13.0,1.0,0.0,0.0,0.0,0.0,228.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,21.0,0.0,0.0,1.0,0.0,0.0,376.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,92.0,24.0,0.0,0.0,1.0,0.0,0.0,410.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,71.0,20.0,0.0,1.0,0.0,0.0,0.0,218.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,0.0,0.0,0.0,1.0,0.0,397.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,76.0,13.0,1.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Dallas Cowboys,DAL,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,37.0,17.0,0.0,1.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,24.0,0.0,0.0,1.0,0.0,0.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
