Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,@TB,W 24-21,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,Mia,W 24-16,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,@Det,L 10-20,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,@Min,L 7-34,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,Bal,L 10-27,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,@Oak,W 20-17,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,@Ind,W 25-13,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,Chi,W 20-10,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,@Car,L 24-31,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,@SF,L 23-25,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,Den,L 13-25,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,LAC,W 30-13,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,Dal,L 17-20,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,@Sea,W 42-7,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,@Buf,L 16-24,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,Cin,W 34-7,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,@Pit,W 27-24,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,NYJ,W 31-19,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,Phi,L 29-34,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,@NO,L 19-31,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,@NYG,W 34-29,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,@Wsh,L 15-20,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,NE,L 24-27,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,@KC,L 13-30,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,Ten,W 25-23,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,LAR,L 7-42,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,Atl,L 21-24,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,Ari,W 20-15,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,GB,W 31-24,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,Hou,W 45-7,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,@Cle,W 27-10,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,@Jax,L 7-45,--,--,--,--,--,--,--,--,DST
