Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Ameer Abdullah,MIN,1.0,3.0,0.02,0.63,4.46,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Josh Adams,PHI,1.0,50.98,0.36,0.75,4.75,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Armah,CAR,1.0,1.58,0.02,0.17,0.68,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Cameron Artis-Payne,CAR,1.0,7.16,0.07,0.47,4.93,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kalen Ballage,MIA,1.0,59.79,0.42,1.46,12.11,0.06,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,61.08,0.47,1.19,8.48,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,69.54,0.42,4.86,43.85,0.23,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenjon Barner,CAR,1.0,3.31,0.02,0.27,1.6,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,16.81,0.14,2.66,21.94,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Kapri Bibbs,GB,1.0,10.02,0.08,0.88,6.58,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeGarrette Blount,DET,1.0,28.58,0.2,0.61,3.82,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,26.2,0.15,0.64,4.77,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tommy Bohanon,JAX,1.0,0.0,0.01,0.6,3.37,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,11.34,0.11,0.66,7.89,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,3.84,0.02,1.93,17.49,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Matt Breida,SF,1.0,61.8,0.4,2.75,26.57,0.14,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rex Burkhead,NE,1.0,18.04,0.13,1.98,14.49,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,26.51,0.16,2.0,16.08,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Carson,SEA,1.0,76.58,0.65,1.72,17.18,0.08,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,84.19,0.72,1.86,17.95,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
