Player,Team,GP,Pass Att,Pass Inc,Rush Att,Rush Yds,Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,Return Yds,Fum Lost,Fum,Tack,Ast,Fum Rec,Fum Yds,POS
Phillip Lindsay,DEN,1.0,0.0,0.0,10.0,46.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,RB
Zach Line,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Marlon Mack,IND,1.0,0.0,0.0,12.0,34.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Doug Martin,OAK,1.0,0.0,0.0,21.0,107.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Christian McCaffrey,CAR,1.0,0.0,0.0,21.0,101.0,0.0,1.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeSean McCoy,BUF,1.0,0.0,0.0,6.0,9.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Elijah McGuire,NYJ,1.0,0.0,0.0,14.0,35.0,1.0,0.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
J.D. McKissic,SEA,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Sony Michel,NE,1.0,0.0,0.0,18.0,116.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Joe Mixon,CIN,1.0,0.0,0.0,17.0,68.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Taquan Mizzell,CHI,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,27.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Latavius Murray,MIN,1.0,0.0,0.0,9.0,22.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Roosevelt Nix,PIT,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Elijhaa Penny,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Adrian Peterson,WAS,1.0,0.0,0.0,26.0,119.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jalen Richard,OAK,1.0,0.0,0.0,4.0,11.0,1.0,0.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Theo Riddick,DET,1.0,0.0,0.0,3.0,-2.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Stevan Ridley,PIT,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Jacquizz Rodgers,TB,1.0,0.0,0.0,2.0,2.0,1.0,0.0,7.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Jaylen Samuels,PIT,1.0,0.0,0.0,12.0,53.0,0.0,0.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Wendell Smallwood,PHI,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Keith Smith,OAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,RB
Rod Smith,DAL,1.0,0.0,0.0,2.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Darren Sproles,PHI,1.0,0.0,0.0,9.0,32.0,0.0,0.0,3.0,76.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Chris Thompson,WAS,1.0,0.0,0.0,4.0,20.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Danny Vitale,GB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Mark Walton,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
DeAndre Washington,OAK,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Derek Watt,LAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Charcandrick West,KC,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
James White,NE,1.0,0.0,0.0,8.0,41.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Damien Williams,KC,1.0,0.0,0.0,13.0,103.0,0.0,1.0,7.0,37.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Jamaal Williams,GB,1.0,0.0,0.0,15.0,95.0,1.0,0.0,6.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jeff Wilson,SF,1.0,0.0,0.0,11.0,27.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Zenner,DET,1.0,0.0,0.0,8.0,45.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
