Player,Team,Bye,FGM,FGA,FG%,EPM,EPA,FPts
Stephen Gostkowski,NE,9,32,35,91.4%,46,46,142.0
Matt Bryant,ATL,11,30,34,88.2%,48,49,138.0
Stephen Gostkowski,NE,9,29,33,87.9%,50,51,137.0
Wil Lutz,NO,5,29,34,85.3%,48,50,135.0
Justin Tucker,BAL,8,32,34,94.1%,37,37,133.0
Steve Hauschka,SEA,5,30,34,88.2%,41,44,131.0
Blair Walsh,SEA,5,31,35,88.6%,38,40,131.0
Graham Gano,CAR,7,28,33,84.8%,46,47,130.0
Chandler Catanzaro,ARI,9,27,31,87.1%,48,50,129.0
Caleb Sturgis,PHI,4,30,35,85.7%,39,40,129.0
Justin Tucker,BAL,8,31,35,88.6%,35,35,128.0
Brandon McManus,DEN,11,29,34,85.3%,40,42,127.0
Mason Crosby,GB,4,26,30,86.7%,48,49,126.0
Dan Bailey,DAL,7,28,31,90.3%,42,42,126.0
Cairo Santos,KC,5,29,34,85.3%,38,40,125.0
Nick Folk,NYJ,11,28,31,90.3%,40,41,124.0
Steve Hauschka,BUF,10,29,34,85.3%,37,41,124.0
Mason Crosby,GB,4,25,29,86.2%,49,51,124.0
Dan Bailey,DAL,7,27,30,90.0%,42,43,123.0
Cairo Santos,KC,5,27,33,81.8%,41,43,122.0
Graham Gano,CAR,7,28,34,82.4%,38,43,122.0
Chris Boswell,PIT,8,27,31,87.1%,40,42,121.0
Dustin Hopkins,WAS,9,29,34,85.3%,34,36,121.0
Sebastian Janikowski,OAK,10,26,31,83.9%,43,46,121.0
Adam Vinatieri,IND,10,26,30,86.7%,42,43,120.0
Phil Dawson,ARI,9,23,26,88.5%,51,52,120.0
Nick Novak,HOU,9,29,35,82.9%,33,35,120.0
Connor Barth,CHI,9,28,33,84.8%,35,35,119.0
Josh Brown,NYG,8,26,29,89.7%,40,41,118.0
Brandon McManus,DEN,11,28,33,84.8%,34,35,118.0
Mike Nugent,CIN,9,25,29,86.2%,42,42,117.0
Blair Walsh,MIN,6,28,32,87.5%,33,36,117.0
Matt Prater,DET,10,27,31,87.1%,35,38,116.0
Dan Carpenter,BUF,10,25,29,86.2%,39,42,114.0
Kai Forbath,NO,5,23,29,79.3%,43,45,112.0
Ryan Succop,TEN,13,24,27,88.9%,40,41,112.0
Jason Myers,JAC,5,24,29,82.8%,39,42,111.0
Kai Forbath,MIN,6,26,28,92.9%,33,34,111.0
Dustin Hopkins,WAS,9,24,28,85.7%,38,39,110.0
Roberto Aguayo,TB,6,24,31,77.4%,38,41,110.0
Randy Bullock,CIN,9,24,29,82.8%,37,39,109.0
Matt Prater,DET,10,24,28,85.7%,36,38,108.0
Patrick Murray,CLE,13,26,31,83.9%,30,32,108.0
Aldrick Rosas,NYG,8,23,29,79.3%,39,43,108.0
Sebastian Janikowski,OAK,10,22,27,81.5%,41,43,107.0
Josh Lambo,SD,11,23,29,79.3%,38,42,107.0
Nick Novak,HOU,9,23,28,82.1%,38,41,107.0
Adam Vinatieri,IND,10,22,27,81.5%,40,42,106.0
Chris Boswell,PIT,8,22,27,81.5%,40,41,106.0
Jason Myers,JAC,5,24,30,80.0%,33,36,105.0
Matt Bryant,ATL,11,22,27,81.5%,38,40,104.0
Phil Dawson,SF,8,25,29,86.2%,29,30,104.0
Roberto Aguayo,TB,6,23,28,82.1%,33,36,102.0
Caleb Sturgis,PHI,4,22,27,81.5%,35,38,101.0
Andrew Franks,MIA,8,22,27,81.5%,35,36,101.0
Greg Zuerlein,LAR,8,22,29,75.9%,33,35,99.0
Connor Barth,CHI,9,22,27,81.5%,31,33,97.0
Andrew Franks,MIA,8,20,25,80.0%,36,37,96.0
Robbie Gould,SF,8,22,27,81.5%,30,32,96.0
Cody Parkey,CLE,13,22,28,78.6%,28,30,94.0
Greg Zuerlein,LAR,8,21,25,84.0%,30,32,93.0
Ryan Succop,TEN,13,18,24,75.0%,36,39,90.0
Chandler Catanzaro,NYJ,11,20,25,80.0%,28,32,88.0
