Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",Jax,L 0-27,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",@LAR,L 0-33,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",KC,W 31-30,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",@NE,L 7-23,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",Ten,L 9-12,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",@NE,L 7-23,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",Sea,L 7-24,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",@GB,W 26-17,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",Car,W 17-3,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",Den,W 21-0,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",Dal,L 10-40,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",Cin,W 29-14,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",Atl,W 23-7,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",@Buf,L 27-30,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",NO,L 17-26,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Garrett Hartley, Pit K",Cin,W 29-14,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",TB,W 30-27,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",Car,W 17-3,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",TB,W 30-27,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",@Chi,L 3-17,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",@Cle,W 12-9,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",@SF,W 40-10,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",Bal,W 24-16,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",Ari,W 33-0,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",@NYG,W 24-7,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",@Pit,L 14-29,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",KC,W 31-30,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",@Min,L 16-24,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",@Buf,L 27-30,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",Den,W 21-0,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",@Phi,L 24-34,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",@Buf,L 27-30,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",Den,W 21-0,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",@Buf,L 27-30,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",@LAC,L 0-21,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",@Mia,L 28-31,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",Car,W 17-3,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",Cin,W 29-14,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Patrick Murray, TB K",@Buf,L 27-30,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",@Cle,W 12-9,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",@NYG,W 24-7,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",@Mia,L 28-31,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",@Ind,W 27-0,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",NYJ,W 31-28,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",Den,W 21-0,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",@GB,W 26-17,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",Sea,L 7-24,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",Wsh,W 34-24,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",Ten,L 9-12,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",@Oak,L 30-31,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",Den,W 21-0,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Nick Rose, LAC K",Den,W 21-0,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",Ari,W 33-0,--/--,--/--,--/--,--/--,--/--,--,K
