Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steven Jackson, NE RB",KC,L 27-42,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Frank Gore, Mia RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Darren Sproles, Phi RB",@Wsh,W 30-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"John Kuhn, NO RB",@Min,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Reggie Bush, Buf RB",NYJ,W 21-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeAngelo Williams, Pit RB",@Cle,W 21-18,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Fred Jackson, Sea RB",@GB,L 9-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Adrian Peterson, Ari RB",@Det,L 23-35,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marshawn Lynch, Oak RB",@Ten,W 26-16,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ahmad Bradshaw, Ind RB",@LAR,L 9-46,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Pierre Thomas, Wsh RB",Phi,L 17-30,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren McFadden, Dal RB",NYG,W 19-3,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonathan Stewart, NYG RB",@Dal,L 3-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Johnson, Ari RB",@Det,L 23-35,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Matt Forte, NYJ RB",@Buf,L 12-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jamaal Charles, Den RB",LAC,W 24-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jerome Felton, Buf RB",NYJ,W 21-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tim Hightower, SF RB",Car,L 3-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Justin Forsett, Den RB",LAC,W 24-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mike Tolbert, Buf RB",NYJ,W 21-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marcel Reece, Sea RB",@GB,L 9-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
