Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Antonio Brown,WR,PIT,0.0,0.0,7.1,99.0,0.9
DeAndre Hopkins,WR,HOU,0.5,0.0,7.3,101.9,0.8
Davante Adams,WR,GB,0.0,0.0,7.0,95.6,0.9
Julio Jones,WR,ATL,0.6,0.0,7.4,108.7,0.6
Michael Thomas,WR,NO,0.0,0.0,7.7,96.1,0.8
Tyreek Hill,WR,KC,5.6,0.0,5.7,88.6,0.7
Keenan Allen,WR,LAC,3.3,0.0,7.4,93.0,0.7
JuJu Smith-Schuster,WR,PIT,0.4,0.0,6.4,92.7,0.7
Adam Thielen,WR,MIN,0.8,0.0,8.0,95.3,0.6
Mike Evans,WR,TB,0.0,0.0,6.1,91.5,0.6
T.Y. Hilton,WR,IND,0.0,0.0,5.5,81.0,0.6
Brandin Cooks,WR,LAR,2.7,0.0,5.6,79.4,0.5
Robert Woods,WR,LAR,4.8,0.0,5.6,77.3,0.5
Stefon Diggs,WR,MIN,2.7,0.0,6.7,76.6,0.5
Kenny Golladay,WR,DET,0.5,0.0,5.3,75.3,0.6
Amari Cooper,WR,DAL,0.3,0.0,5.6,74.2,0.6
Courtland Sutton,WR,DEN,0.0,0.0,4.2,67.4,0.5
Tyler Boyd,WR,CIN,0.7,0.0,5.5,70.9,0.5
Chris Godwin,WR,TB,0.0,0.0,5.2,70.5,0.5
Corey Davis,WR,TEN,2.2,0.0,4.1,59.2,0.5
Tyler Lockett,WR,SEA,3.2,0.0,3.8,57.3,0.5
Julian Edelman,WR,NE,4.7,0.0,5.5,66.0,0.3
Sterling Shepard,WR,NYG,0.5,0.0,4.7,59.1,0.5
D.J. Moore,WR,CAR,6.5,0.0,4.6,57.2,0.4
Allen Robinson,WR,CHI,0.0,0.0,4.0,54.9,0.5
Larry Fitzgerald,WR,ARI,0.0,0.0,5.0,58.2,0.5
Jarvis Landry,WR,CLE,0.0,0.0,5.4,64.3,0.3
Golden Tate,WR,PHI,1.4,0.0,4.9,55.0,0.4
DeVante Parker,WR,MIA,0.0,0.0,4.0,50.7,0.4
Adam Humphries,WR,TB,0.7,0.0,5.0,59.8,0.2
Calvin Ridley,WR,ATL,2.7,0.0,4.0,52.1,0.3
Tyrell Williams,WR,LAC,0.8,0.0,2.9,48.3,0.4
Alshon Jeffery,WR,PHI,0.0,0.0,4.0,52.0,0.3
Marquise Goodwin,WR,SF,1.5,0.0,3.2,50.0,0.3
Curtis Samuel,WR,CAR,5.4,0.0,3.2,38.9,0.4
Tre'Quan Smith,WR,NO,0.0,0.0,2.9,44.6,0.4
Dede Westbrook,WR,JAX,2.9,0.0,4.0,50.5,0.2
Kenny Stills,WR,MIA,0.0,0.0,3.0,44.9,0.3
Taylor Gabriel,WR,CHI,3.1,0.0,3.8,46.3,0.2
Mike Williams,WR,LAC,1.8,0.0,2.5,39.4,0.3
Zay Jones,WR,BUF,0.4,0.0,3.5,45.0,0.3
