Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Davante Adams,GB,1.0,0.06,0.0,6.65,90.03,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nelson Agholor,PHI,1.0,1.13,0.01,3.08,36.91,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keenan Allen,LAC,1.0,5.79,0.0,7.17,93.17,0.58,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Danny Amendola,MIA,1.0,0.21,0.0,3.93,49.61,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robby Anderson,NYJ,1.0,1.47,0.01,2.64,36.98,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcell Ateman,OAK,1.0,0.2,0.0,3.05,37.82,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cameron Batson,TEN,1.0,0.45,0.0,0.95,12.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cole Beasley,DAL,1.0,0.23,0.0,2.74,34.43,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Bellamy,CHI,1.0,0.04,0.0,0.72,9.89,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Travis Benjamin,LAC,1.0,3.31,0.0,1.21,15.82,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kendrick Bourne,SF,1.0,0.03,0.0,2.36,31.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Boyd,CIN,1.0,0.66,0.0,5.44,73.17,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Brown,PIT,1.0,0.26,0.0,6.31,88.72,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jaron Brown,SEA,1.0,0.03,0.0,0.83,10.23,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Brown,BAL,1.0,1.05,0.01,2.47,34.25,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Noah Brown,DAL,1.0,0.02,0.0,0.53,7.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brice Butler,MIA,1.0,0.02,0.0,0.73,12.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Callaway,CLE,1.0,0.33,0.0,3.24,46.34,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Austin Carr,NO,1.0,0.02,0.0,0.58,6.54,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Leonte Carroo,MIA,1.0,0.52,0.0,0.53,6.84,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Carter,HOU,1.0,0.12,0.0,0.93,11.84,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jehu Chesson,WAS,1.0,0.11,0.0,0.28,4.85,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammie Coates,FA,1.0,0.13,0.0,0.17,6.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Randall Cobb,GB,1.0,1.16,0.0,3.71,38.53,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keelan Cole,JAX,1.0,0.07,0.0,1.95,26.98,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Coleman,NYG,1.0,0.25,0.0,0.79,12.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Conley,KC,1.0,0.04,0.0,2.33,32.37,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandin Cooks,LAR,1.0,2.72,0.01,4.85,80.22,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Amari Cooper,DAL,1.0,2.06,0.0,4.97,70.76,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Pharoh Cooper,ARI,1.0,0.66,0.0,0.37,3.93,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cody Core,CIN,1.0,0.03,0.0,1.51,15.42,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Crabtree,BAL,1.0,0.14,0.0,3.39,39.42,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
River Cracraft,DEN,1.0,0.19,0.0,0.42,5.58,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Jamison Crowder,WAS,1.0,4.74,0.05,3.47,40.89,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Davis,TEN,1.0,2.0,0.01,3.82,61.28,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geremy Davis,LAC,1.0,0.08,0.0,0.2,3.36,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jawill Davis,NYG,1.0,0.42,0.0,0.35,5.76,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Gehrig Dieter,KC,1.0,0.26,0.0,0.79,9.71,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stefon Diggs,MIN,1.0,1.29,0.02,6.42,75.18,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Doctson,WAS,1.0,0.24,0.0,2.86,38.9,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
