NFL GIANT $1,060 50-50	$1,060.00	$50,000	1	50	50	50%	205.80	$2,000	154.90	$2,000.00
NFL $50K Game Changer [Single Entry]	$1,060.00	$50,000	1	50	50	20%	194.20	$15,000	175.16	$2,000.00
NFL GIANT $50 Double Up	$50.00	$50,000	34	1,136	1,136	44%	215.96	$100	160.50	$100.00
NFL GIANT $25 Double Up	$25.00	$50,000	68	2,298	2,298	44%	217.16	$50	160.70	$50.00
NFL $50K Quarter Jukebox [Just $0.25!]	$0.25	$50,000	20	237,812	237,812	25%	250.44	$2,000	154.18	$0.50
NFL $40K Power Sweep [3 Entry Max]	$150.00	$40,000	3	296	296	23%	195.30	$6,000	160.10	$250.00
NFL $215 50-50 #1 x2	$215.00	$40,000	1	200	0	50%		$0		$0.00
NFL $215 200-Player (Winner Takes All)	$215.00	$40,000	1	200	0	1%		$0		$0.00
NFL GIANT $100 Double Up	$100.00	$35,000	11	388	388	45%	200.70	$200	155.30	$200.00
NFL GIANT $2 Double Up	$2.00	$35,000	20	20,114	20,114	44%	228.34	$4	156.70	$4.00
NFL GIANT $530 50-50	$530.00	$35,000	2	70	70	50%	198.00	$1,000	158.20	$1,000.00
NFL $30K Touchdown	$200.00	$30,100	5	167	167	23%	204.60	$7,500	164.06	$300.00
NFL $30K Spin Move [Single Entry]	$300.00	$30,000	1	111	111	23%	197.20	$5,000	172.58	$600.00
NFL GIANT $1,060 50-50	$1,060.00	$30,000	1	30	30	50%	194.20	$2,000	151.50	$2,000.00
NFL $30K Hail Mary	$12.00	$30,000	88	2,941	2,941	24%	211.70	$3,000	156.26	$18.00
NFL $30K Chop Block [$5K to 1st]	$50.00	$30,000	20	681	681	24%	207.20	$5,000	159.98	$75.00
NFL $30K Stiff Arm [Single Entry]	$555.00	$30,000	1	60	60	23%	194.20	$7,500	165.08	$1,000.00
NFL $30K Super Booster [Top 300 Win $100]	$4.00	$30,000	20	8,823	8,823	3%	223.26	$100	183.50	$100.00
NFL GIANT $10 Double Up	$10.00	$25,000	86	2,873	2,873	44%	206.70	$20	160.70	$20.00
NFL GIANT $100 Double Up [Single Entry]	$100.00	$25,000	1	277	277	45%	220.46	$200	157.38	$200.00
NFL GIANT $250 Double Up	$250.00	$25,000	3	111	111	45%	200.70	$500	158.50	$500.00
NFL GIANT $5 Double Up [Single Entry]	$5.00	$25,000	1	5,747	5,747	44%	225.56	$10	156.70	$10.00
NFL GIANT $10 Double Up [Single Entry]	$10.00	$25,000	1	2,873	2,873	44%	225.56	$20	158.50	$20.00
NFL GIANT $50 Double Up [Single Entry]	$50.00	$25,000	1	568	568	44%	209.76	$100	158.50	$100.00
NFL GIANT $250 Double Up [Single Entry]	$250.00	$25,000	1	111	111	45%	209.76	$500	155.30	$500.00
NFL $25K Singleback [3 Entry Max]	$1.00	$25,000	3	29,726	29,726	25%	239.36	$1,500	156.76	$2.00
NFL $25K Hot Route [$5K to 1st]	$100.00	$25,000	8	277	277	25%	196.30	$5,000	161.56	$150.00
NFL $21K Wildcat [$5K to 1st]	$333.00	$21,000	2	70	70	24%	200.70	$5,000	168.20	$500.00
NFL $20K Safety	$2.00	$20,000	20	11,890	11,890	25%	228.40	$2,000	157.46	$3.00
NFL $109 50-50 #1 x2	$109.00	$20,000	1	200	0	50%		$0		$0.00
NFL $20K Mini-MAX [150 Max Entry]	$0.50	$20,000	150	47,562	47,562	22%	239.50	$1,500	159.38	$1.00
NFL $15K Daily Dollar [Single Entry]	$1.00	$15,000	1	17,835	17,835	25%	220.00	$750	156.80	$1.50
NFL Single Entry $25 Double Up	$25.00	$15,000	1	689	689	44%	208.00	$50	155.30	$50.00
NFL Single Entry $25 Double Up	$25.00	$15,000	1	689	689	44%	212.30	$50	156.20	$50.00
NFL $15K Hot Route	$100.00	$15,000	4	166	166	24%	210.16	$2,500	160.96	$150.00
NFL $15K Fair Catch [Single Entry]	$12.00	$15,000	1	1,470	1,470	26%	210.10	$1,500	156.68	$18.00
NFL $15K First Down	$1.00	$15,000	20	17,835	17,835	25%	224.50	$750	153.90	$1.50
NFL Single Entry $25 Double Up	$25.00	$14,000	1	643	643	44%	217.70	$50	153.00	$50.00
Sports Betting National Championship Qualifier [$1M to 1st]	$5.00	$13,000	92	3,091	2,072	3%	214.40	$0	176.26	$5.00
Sports Betting National Championship Qualifier [$1M to 1st]	$50.00	$13,000	9	305	196	4%	204.60	$0	171.90	$50.00
Sports Betting National Championship Qualifier [$1M to 1st]	$16.00	$13,000	28	955	647	3%	214.40	$0	181.36	$16.00
Casual NFL $10K Front Four	$4.00	$10,000	10	2,972	2,972	24%	230.92	$1,000	157.64	$6.00
NFL Fantasy Football Millionaire SUPERSatellite [500x]	$1.00	$10,000	20	11,890	11,890	4%	239.46	$0	178.06	$0.00
NFL Single Entry $2 Double Up	$2.00	$10,000	1	5,747	5,747	44%	224.50	$4	155.20	$4.00
NFL $1,060 50-50 [Top 50% Win]	$1,060.00	$10,000	1	10	0	0%		$0		$0.00
NFL $1,060 50-50 [Top 50% Win]	$1,060.00	$10,000	1	10	0	0%		$0		$0.00
NFL $10K Fair Catch [Single Entry]	$12.00	$10,000	1	980	980	25%	216.10	$1,000	156.98	$18.00
NFL $10K Spy [Single Entry]	$100.00	$10,000	1	111	111	24%	207.60	$1,500	159.30	$150.00
NFL $10K Game Changer [Single Entry]	$1,060.00	$10,000	1	10	0	0%		$0		$0.00
NFL $1,060 50-50 [Top 50% Win]	$1,060.00	$10,000	1	10	0	0%		$0		$0.00
NFL BIG 10x Booster [Top 500 Win $20]	$2.00	$10,000	20	5,882	5,882	9%	214.70	$20	174.40	$20.00
NFL Single Entry $5 Double Up	$5.00	$10,000	1	2,298	2,298	44%	214.70	$10	150.50	$10.00
NFL $10K Chop Block	$50.00	$10,000	6	227	227	26%	200.70	$1,000	157.02	$75.00
NFL $10K Red Zone [Single Entry]	$50.00	$10,000	1	227	227	26%	205.10	$1,000	157.06	$75.00
NFL $530 50-50 [Top 50% Win]	$530.00	$10,000	1	20	20	50%	194.20	$1,000	156.00	$1,000.00
NFL $25 Double Up	$25.00	$10,000	13	459	459	44%	205.30	$50	154.90	$50.00
NFL $10K Game Changer [Single Entry]	$1,060.00	$10,000	1	10	0	0%		$0		$0.00
NFL $10K Flea Flicker [$2K to 1st]	$5.00	$10,000	71	2,378	2,378	25%	211.84	$2,000	156.20	$8.00
NFL $50 50-50 #1 x3	$50.00	$9,000	1	200	0	50%		$0		$0.00
NFL $50 50-50	$50.00	$9,000	1	200	0	50%		$0		$0.00
NFL $1M King of the Beach Qualifier #84	$20.00	$8,598	5	505	465	6%	210.20	$0	177.96	$30.00
NFL $1M King of the Beach Qualifier #85	$20.00	$8,598	5	505	449	6%	204.40	$0	176.80	$30.00
NFL $1M King of the Beach Qualifier #82	$4.00	$8,558	5	2,543	1,923	5%	231.20	$0	178.40	$6.00
NFL $1M King of the Beach Qualifier #83	$12.00	$8,538	5	837	754	5%	207.60	$0	177.40	$20.00
NFL $1M King of the Beach Qualifier #81	$1.00	$8,518	5	10,127	6,182	3%	239.46	$0	177.64	$2.00
NFL $5 Double Up	$5.00	$8,000	55	1,839	1,839	44%	262.30	$10	154.90	$10.00
NFL Single Entry $5 Double Up	$5.00	$6,000	1	1,379	1,379	44%	208.00	$10	149.50	$10.00
NFL Fantasy Football Millionaire SUPERSatellite [300x]	$5.00	$6,000	42	1,426	1,245	21%	220.14	$0	162.80	$0.00
NFL $5,600 FFWC Qualifier Satellite	$565.00	$5,600	1	11	11	9%	198.00	$0	198.00	$0.00
NFL $5,425 FFWC MEGAQualifier Satellite	$5.00	$5,425	38	1,290	874	0%	214.40	$0	214.40	$0.00
NFL $5,425 FFWC MEGAQualifier Satellite	$600.00	$5,425	1	10	0	0%		$0		$0.00
NFL $5.4K Juke [Single Entry]	$400.00	$5,400	1	15	15	27%	190.06	$2,500	165.10	$600.00
NFL $5K Mini Flea Flicker	$5.00	$5,000	35	1,189	1,189	26%	211.80	$500	157.16	$8.00
NFL $5K Mini Play-Action	$3.00	$5,000	20	1,981	1,981	28%	205.30	$250	160.50	$5.00
Casual NFL $5K Gridiron	$27.00	$5,000	6	215	215	28%	194.62	$500	159.96	$50.00
Beginner NFL $5K Play-Action	$3.00	$5,000	5	1,981	1,981	28%	213.20	$250	153.00	$5.00
