Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Tom Brady, NE QB",Hou,W 36-33,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mike Vick, Pit QB",@Chi,L 17-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Brees, NO QB",@Car,W 34-13,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh McCown, NYJ QB",Mia,W 20-6,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Shaun Hill, Min QB",TB,W 34-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Carson Palmer, Ari QB",Dal,L 17-28,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tony Romo, Dal QB",@Ari,W 28-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Eli Manning, NYG QB",@Phi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Philip Rivers, LAC QB",KC,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ben Roethlisberger, Pit QB",@Chi,L 17-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Schaub, Atl QB",@Det,W 30-26,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Luke McCown, Dal QB",@Ari,W 28-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Alex Smith, Wsh QB",Oak,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Aaron Rodgers, GB QB",Cin,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Dan Orlovsky, LAR QB",@SF,W 41-39,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Derek Anderson, Car QB",NO,L 13-34,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Cassel, Det QB",Atl,L 26-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Fitzpatrick, TB QB",@Min,L 17-34,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jay Cutler, Mia QB",@NYJ,L 6-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Kellen Clemens, LAC QB",KC,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tarvaris Jackson, Sea QB",@Ten,L 27-33,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Charlie Whitehurst, Cle QB",@Ind,L 28-31,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Bruce Gradkowski, Pit QB",@Chi,L 17-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Stanton, Cle QB",@Ind,L 28-31,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Moore, Mia QB",@NYJ,L 6-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Ryan, Atl QB",@Det,W 30-26,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Joe Flacco, Bal QB",@Jax,L 7-44,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Chad Henne, KC QB",@LAC,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh Johnson, Oak QB",@Wsh,L 10-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
