Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,31.0,20.0,11.0,244.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,35.0,25.0,10.0,378.0,5.0,0.0,5.0,1.0,2.0,0.0,1.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,29.0,22.0,7.0,220.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,24.0,17.0,7.0,259.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,31.0,19.0,12.0,118.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,30.0,25.0,5.0,365.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jay Cutler,,1.0,44.0,26.0,18.0,220.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,27.0,21.0,6.0,212.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,18.0,8.0,10.0,28.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Mike Glennon,ARI,1.0,22.0,15.0,7.0,101.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,QB
Jared Goff,LA,1.0,28.0,22.0,6.0,292.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Chad Henne,KC,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,37.0,23.0,14.0,332.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,33.0,25.0,8.0,369.0,3.0,0.0,0.0,1.0,1.0,1.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
DeShone Kizer,GB,1.0,47.0,22.0,25.0,242.0,2.0,3.0,1.0,0.0,0.0,0.0,7.0,44.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,QB
Eli Manning,NYG,1.0,47.0,35.0,12.0,366.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,32.0,20.0,12.0,225.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
