Player,Team,Salary
Aaron Rodgers,GNB,6300
Tom Brady,NWE,6300
Drew Brees,NOR,6400
Blake Bortles,JAC,5500
C.J. Beathard,SFO,4900
Andrew Luck,IND,5800
Case Keenum,DEN,5600
Carson Wentz,PHI,5800
Deshaun Watson,HOU,6200
Philip Rivers,LAC,6700
Eli Manning,NYG,4900
Ben Roethlisberger,PIT,6900
Baker Mayfield,CLE,5300
Patrick Mahomes II,KAN,6200
Russell Wilson,SEA,5100
Sam Darnold,NYJ,4700
Jared Goff,LAR,6500
Cam Newton,CAR,6400
Kirk Cousins,MIN,6000
Alex Smith,WAS,5700
Matt Ryan,ATL,6600
Matthew Stafford,DET,5700
Derek Carr,OAK,5200
Andy Dalton,CIN,5900
Dak Prescott,DAL,5500
Joe Flacco,BAL,5400
Josh Rosen,ARI,4700
Josh Allen,BUF,4800
Ryan Tannehill,MIA,5200
Taysom Hill,NOR,4000
Marcus Mariota,TEN,6100
Matt Schaub,ATL,4400
Lamar Jackson,BAL,4500
Joe Webb,HOU,4000
Teddy Bridgewater,NOR,4500
Joshua Dobbs,PIT,4500
