Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Ben Roethlisberger,QB,PIT,320,3,1,5,0
Philip Rivers,QB,LAC,310,3,0,0,0
Drew Brees,QB,NO,305,3,1,0,0
Deshaun Watson,QB,HOU,290,2,1,35,0
Matt Ryan,QB,ATL,325,2,1,5,0
Blake Bortles,QB,JAX,270,2,1,30,0
Alex Smith,QB,WAS,280,2,0,20,0
Kirk Cousins,QB,MIN,295,2,1,10,0
Cam Newton,QB,CAR,245,2,1,35,0
Aaron Rodgers,QB,GB,285,2,0,15,0
Jared Goff,QB,LAR,295,2,1,5,0
Patrick Mahomes,QB,KC,275,2,0,15,0
Russell Wilson,QB,SEA,255,2,0,25,0
Baker Mayfield,QB,CLE,260,2,1,20,0
Carson Wentz,QB,PHI,280,2,1,10,0
Matthew Stafford,QB,DET,285,2,1,5,0
Andy Dalton,QB,CIN,270,2,1,10,0
Tom Brady,QB,NE,285,2,0,0,0
Derek Carr,QB,OAK,275,2,1,5,0
Joe Flacco,QB,BAL,275,2,1,5,0
Andrew Luck,QB,IND,255,2,2,15,0
Marcus Mariota,QB,TEN,235,1,1,25,0
Ryan Tannehill,QB,MIA,235,1,1,20,0
C.J. Beathard,QB,SF,245,1,1,10,0
Case Keenum,QB,DEN,235,1,1,5,0
Dak Prescott,QB,DAL,205,1,0,20,0
Eli Manning,QB,NYG,225,1,1,5,0
Josh Rosen,QB,ARI,210,1,1,10,0
Josh Allen,QB,BUF,170,1,1,20,0
Sam Darnold,QB,NYJ,200,1,1,5,0
