Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,196.35,1.08,1.0,34.43,0.21,0.17,0.08,QB
C.J. Beathard,SF,1.0,233.19,1.22,0.98,26.64,0.23,0.11,0.07,QB
Blake Bortles,JAX,1.0,260.59,1.6,0.87,26.33,0.18,0.05,0.13,QB
Tom Brady,NE,1.0,289.37,1.96,0.52,4.18,0.06,0.03,0.16,QB
Drew Brees,NO,1.0,283.36,1.94,0.73,6.56,0.1,0.03,0.06,QB
Teddy Bridgewater,NO,1.0,5.77,0.02,0.03,0.03,0.01,0.0,0.03,QB
Jacoby Brissett,IND,1.0,13.73,0.05,0.05,0.02,0.01,0.01,0.03,QB
Derek Carr,OAK,1.0,262.03,1.49,0.97,4.71,0.06,0.08,0.19,QB
Matt Cassel,DET,1.0,9.5,0.02,0.07,0.01,0.0,0.0,0.05,QB
Kirk Cousins,MIN,1.0,280.81,1.78,0.9,8.98,0.07,0.07,0.06,QB
Andy Dalton,CIN,1.0,273.97,1.92,0.84,5.28,0.06,0.05,0.0,QB
Sam Darnold,NYJ,1.0,226.98,1.24,0.87,11.31,0.11,0.07,0.08,QB
Joshua Dobbs,PIT,1.0,15.12,0.08,0.06,0.04,0.01,0.01,0.04,QB
Jeff Driskel,CIN,1.0,17.56,0.05,0.18,0.06,0.01,0.01,0.04,QB
Joe Flacco,BAL,1.0,253.91,1.62,0.81,5.87,0.08,0.04,0.13,QB
Nick Foles,PHI,1.0,11.18,0.05,0.07,0.0,0.01,0.0,0.03,QB
Blaine Gabbert,TEN,1.0,29.77,0.07,0.13,0.0,0.01,0.0,0.03,QB
Mike Glennon,ARI,1.0,13.27,0.08,0.05,0.01,0.0,0.0,0.06,QB
Jared Goff,LA,1.0,259.93,1.86,0.77,6.87,0.09,0.06,0.04,QB
Taylor Heinicke,CAR,1.0,15.11,0.05,0.09,0.03,0.01,0.01,0.03,QB
Chad Henne,KC,1.0,8.96,0.03,0.06,0.0,0.01,0.01,0.02,QB
Taysom Hill,NO,1.0,13.31,0.04,0.08,0.58,0.03,0.01,0.03,QB
Brian Hoyer,NE,1.0,9.08,0.04,0.05,0.0,0.02,0.01,0.01,QB
Brett Hundley,SEA,1.0,13.48,0.05,0.13,0.11,0.02,0.01,0.03,QB
Lamar Jackson,BAL,1.0,54.1,0.24,0.36,6.84,0.07,0.05,0.03,QB
Case Keenum,DEN,1.0,238.66,1.21,0.81,4.44,0.07,0.04,0.03,QB
Chad Kelly,,1.0,15.74,0.05,0.08,0.0,0.01,0.01,0.04,QB
Cody Kessler,JAX,1.0,12.59,0.05,0.05,0.0,0.0,0.0,0.03,QB
DeShone Kizer,GB,1.0,19.3,0.05,0.17,0.17,0.01,0.01,0.03,QB
Andrew Luck,IND,1.0,283.49,1.92,1.09,11.47,0.12,0.1,0.13,QB
Patrick Mahomes,KC,1.0,268.9,1.93,1.04,20.17,0.13,0.1,0.07,QB
Eli Manning,NYG,1.0,258.04,1.54,0.77,2.83,0.05,0.04,0.03,QB
Sean Mannion,LA,1.0,9.06,0.03,0.05,0.04,0.0,0.0,0.03,QB
Marcus Mariota,TEN,1.0,218.93,1.15,0.84,35.81,0.24,0.13,0.03,QB
Baker Mayfield,CLE,1.0,232.12,1.22,1.1,13.11,0.12,0.1,0.08,QB
AJ McCarron,OAK,1.0,8.19,0.03,0.04,0.0,0.0,0.0,0.03,QB
Josh McCown,NYJ,1.0,21.9,0.06,0.08,0.05,0.01,0.01,0.02,QB
Colt McCoy,WAS,1.0,11.07,0.04,0.05,0.0,0.0,0.0,0.03,QB
Nick Mullens,SF,1.0,24.34,0.06,0.13,0.0,0.01,0.01,0.04,QB
Cam Newton,CAR,1.0,228.66,1.38,0.88,48.38,0.35,0.04,0.13,QB
Brock Osweiler,MIA,1.0,16.66,0.07,0.11,0.01,0.01,0.0,0.06,QB
Nathan Peterman,OAK,1.0,5.54,0.02,0.1,0.01,0.01,0.0,0.03,QB
Dak Prescott,DAL,1.0,211.45,1.16,0.63,19.56,0.15,0.03,0.07,QB
Philip Rivers,LAC,1.0,295.19,1.96,0.81,1.48,0.05,0.02,0.06,QB
Aaron Rodgers,GB,1.0,277.13,1.98,0.63,14.08,0.12,0.06,0.1,QB
Ben Roethlisberger,PIT,1.0,319.83,2.01,0.89,8.25,0.13,0.06,0.22,QB
Josh Rosen,ARI,1.0,220.57,1.09,0.8,11.72,0.1,0.07,0.08,QB
Cooper Rush,DAL,1.0,9.77,0.03,0.04,0.08,0.01,0.01,0.03,QB
Matt Ryan,ATL,1.0,289.96,1.95,0.74,10.56,0.1,0.08,0.09,QB
Matt Schaub,ATL,1.0,8.62,0.02,0.06,0.08,0.0,0.0,0.11,QB
Trevor Siemian,MIN,1.0,16.11,0.04,0.08,0.0,0.0,0.0,0.03,QB
Alex Smith,WAS,1.0,267.73,1.73,0.75,19.12,0.1,0.05,0.06,QB
Geno Smith,LAC,1.0,10.16,0.03,0.05,0.09,0.01,0.01,0.03,QB
Matthew Stafford,DET,1.0,291.16,2.01,0.88,4.67,0.06,0.03,0.03,QB
Ryan Tannehill,MIA,1.0,237.48,1.45,0.87,18.92,0.13,0.1,0.09,QB
Alex Tanney,NYG,1.0,19.27,0.09,0.18,0.01,0.0,0.0,0.03,QB
Tyrod Taylor,CLE,1.0,14.31,0.06,0.08,0.0,0.02,0.0,0.02,QB
Deshaun Watson,HOU,1.0,266.81,1.9,0.73,34.8,0.24,0.13,0.15,QB
Joe Webb,HOU,1.0,6.51,0.02,0.03,0.07,0.02,0.01,0.0,QB
Carson Wentz,PHI,1.0,259.62,1.82,0.86,18.01,0.12,0.1,0.22,QB
Russell Wilson,SEA,1.0,233.89,1.45,0.81,20.21,0.13,0.03,0.09,QB
