Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Houston Texans,DST,HOU,18.8,304.0,1.1,0.7,3.8,0.1,0.0,0.2
New England Patriots,DST,NE,15.5,279.0,1.1,0.7,3.5,0.1,0.1,0.2
Philadelphia Eagles,DST,PHI,20.0,311.0,1.1,0.6,3.0,0.1,0.1,0.2
Chicago Bears,DST,CHI,16.3,320.0,0.8,0.6,3.0,0.0,0.1,0.30000000000000004
Pittsburgh Steelers,DST,PIT,19.8,343.0,0.9,0.6,3.0,0.1,0.1,0.2
Cincinnati Bengals,DST,CIN,25.5,394.0,1.0,0.6,2.9,0.0,0.1,0.2
Seattle Seahawks,DST,SEA,25.5,402.0,0.8,0.6,2.5,0.1,0.1,0.1
San Francisco 49ers,DST,SF,18.8,271.0,1.0,0.6,3.0,0.0,0.0,0.2
Washington Redskins,DST,WAS,23.3,336.0,0.9,0.6,2.9,0.0,0.0,0.2
Baltimore Ravens,DST,BAL,22.0,353.0,1.0,0.7,3.0,0.1,0.0,0.1
Detroit Lions,DST,DET,22.5,371.0,0.9,0.6,2.4,0.0,0.1,0.2
Kansas City Chiefs,DST,KC,22.0,362.0,0.9,0.6,2.7,0.0,0.0,0.2
Jacksonville Jaguars,DST,JAX,24.0,342.0,0.9,0.5,2.5,0.1,0.0,0.30000000000000004
Arizona Cardinals,DST,ARI,21.3,358.0,0.8,0.5,2.4,0.1,0.0,0.2
Minnesota Vikings,DST,MIN,26.3,446.0,0.7,0.4,2.3,0.1,0.0,0.30000000000000004
Miami Dolphins,DST,MIA,26.3,376.0,0.7,0.5,2.2,0.0,0.0,0.2
New York Giants,DST,NYG,20.8,349.0,0.7,0.4,1.9,0.0,0.1,0.30000000000000004
Carolina Panthers,DST,CAR,22.5,363.0,0.9,0.5,2.7,0.0,0.1,0.1
Los Angeles Rams,DST,LAR,24.5,386.0,0.8,0.4,2.3,0.1,0.0,0.30000000000000004
Indianapolis Colts,DST,IND,26.8,368.0,0.9,0.6,2.8,0.0,0.0,0.1
New York Jets,DST,NYJ,25.3,393.0,0.8,0.5,2.2,0.0,0.0,0.1
New Orleans Saints,DST,NO,27.8,424.0,0.8,0.5,2.4,0.0,0.0,0.2
Cleveland Browns,DST,CLE,28.3,397.0,0.7,0.5,2.2,0.0,0.0,0.2
Oakland Raiders,DST,OAK,24.3,396.0,0.7,0.6,2.4,0.1,0.0,0.1
Tampa Bay Buccaneers,DST,TB,29.5,390.0,0.7,0.5,2.4,0.0,0.1,0.2
Green Bay Packers,DST,GB,32.0,438.0,0.7,0.5,2.2,0.0,0.0,0.1
Buffalo Bills,DST,BUF,29.0,380.0,0.6,0.3,1.7,0.0,0.0,0.2
Denver Broncos,DST,DEN,31.0,427.0,0.5,0.4,1.9,0.0,0.0,0.2
Dallas Cowboys,DST,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Chargers,DST,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta Falcons,DST,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee Titans,DST,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
