Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Chicago Bears,DST,CHI,16.6,283,1.6,1.1,3.2,0.0,0.37
Baltimore Ravens,DST,BAL,19.6,295,1.2,0.7,3.0,0.0,0.28
New England Patriots,DST,NE,15.0,291,1.3,0.6,2.3,0.0,0.36
Arizona Cardinals,DST,ARI,19.3,330,1.5,1.0,3.1,0.0,0.33
Houston Texans,DST,HOU,17.7,274,1.3,0.8,2.0,0.0,0.31
Pittsburgh Steelers,DST,PIT,19.9,377,1.1,0.8,4.0,0.1,0.29
San Francisco 49ers,DST,SF,21.5,279,1.7,0.8,2.6,0.0,0.29
Philadelphia Eagles,DST,PHI,18.2,356,1.1,1.1,1.8,0.0,0.3
Washington Redskins,DST,WAS,19.5,340,0.8,1.1,2.4,0.0,0.26
Los Angeles Rams,DST,LAR,22.9,375,0.6,1.1,3.4,0.0,0.28
Miami Dolphins,DST,MIA,28.2,404,1.7,1.0,2.8,0.0,0.37
Cincinnati Bengals,DST,CIN,23.0,413,1.3,0.7,2.2,0.0,0.28
Kansas City Chiefs,DST,KC,21.3,412,1.0,0.8,2.3,0.0,0.32
Jacksonville Jaguars,DST,JAX,23.6,333,0.7,1.1,2.7,0.0,0.24
Carolina Panthers,DST,CAR,23.5,362,1.0,0.8,2.3,0.0,0.26
Seattle Seahawks,DST,SEA,21.4,311,0.8,0.9,2.5,0.0,0.24
Indianapolis Colts,DST,IND,22.5,334,0.8,1.1,1.8,0.0,0.28
Detroit Lions,DST,DET,22.9,349,0.8,0.7,2.6,0.1,0.24
New York Jets,DST,NYJ,25.4,335,0.8,0.8,2.2,0.0,0.25
New Orleans Saints,DST,NO,22.7,353,0.8,0.9,1.9,0.0,0.25
Oakland Raiders,DST,OAK,30.7,427,1.2,0.8,1.8,0.1,0.26
Green Bay Packers,DST,GB,33.0,409,0.9,1.0,2.1,0.1,0.24
Cleveland Browns,DST,CLE,29.9,383,1.2,0.8,1.5,0.1,0.26
New York Giants,DST,NYG,23.7,358,0.5,0.7,1.3,0.0,0.2
Tampa Bay Buccaneers,DST,TB,27.8,373,0.9,0.9,1.7,0.0,0.23
Buffalo Bills,DST,BUF,29.5,366,0.7,1.0,1.7,0.0,0.21
Denver Broncos,DST,DEN,31.1,351,0.8,0.6,2.2,0.0,0.2
