Player,Team,Salary
New England Patriots,NE,3500
Cincinnati Bengals,CIN,2500
New Orleans Saints,NO,2100
Washington Redskins,WAS,2700
San Francisco 49ers,SF,2500
Seattle Seahawks,SEA,2300
Kansas City Chiefs,KC,2600
Jacksonville Jaguars,JAX,2700
Carolina Panthers,CAR,2500
Arizona Cardinals,ARI,3200
Philadelphia Eagles,PHI,2900
Los Angeles Rams,LAR,2600
Pittsburgh Steelers,PIT,2300
Chicago Bears,CHI,4100
Green Bay Packers,GB,2000
Houston Texans,HOU,3100
Cleveland Browns,CLE,2100
Denver Broncos,DEN,2000
Buffalo Bills,BUF,2000
New York Giants,NYG,2000
New York Jets,NYJ,2200
Minnesota Vikings,MIN,2400
Tampa Bay Buccaneers,TB,2100
Detroit Lions,DET,2400
Indianapolis Colts,IND,2900
Oakland Raiders,OAK,2200
Miami Dolphins,MIA,2300
Baltimore Ravens,BAL,2800
