Player,POS,Team,PA,Int,Fum Rec,Sack,Status,TD
Philadelphia Eagles,DST,PHI,8.2,1.0,0.5,2.5, ,0.2
Indianapolis Colts,DST,IND,6.9,0.9,0.6,2.4, ,0.2
Miami Dolphins,DST,MIA,6.6,1.2,0.5,2.4, ,0.2
Arizona Cardinals,DST,ARI,6.5,1.1,0.6,2.3, ,0.2
New England Patriots,DST,NE,6.5,1.0,0.4,1.2, ,0.2
Baltimore Ravens,DST,BAL,6.4,0.8,0.5,2.3, ,0.2
Carolina Panthers,DST,CAR,6.3,0.9,0.6,2.6, ,0.2
Washington Redskins,DST,WAS,6.3,0.6,0.6,2.7, ,0.2
Chicago Bears,DST,CHI,6.2,1.1,0.4,1.6, ,0.2
Pittsburgh Steelers,DST,PIT,6.2,0.9,0.5,2.9, ,0.2
Los Angeles Rams,DST,LAR,6.2,0.7,0.6,3.2, ,0.2
Cleveland Browns,DST,CLE,6.0,1.1,0.6,2.1, ,0.2
Cincinnati Bengals,DST,CIN,6.0,1.4,0.4,1.9, ,0.2
Detroit Lions,DST,DET,5.9,0.6,0.5,2.6, ,0.2
Houston Texans,DST,HOU,5.6,0.8,0.5,1.5, ,0.2
Kansas City Chiefs,DST,KC,5.5,1.1,0.5,1.7, ,0.2
New York Jets,DST,NYJ,5.3,1.0,0.6,1.6, ,0.2
Seattle Seahawks,DST,SEA,5.3,0.8,0.5,2.1, ,0.2
Buffalo Bills,DST,BUF,5.0,1.0,0.6,1.3, ,0.2
Jacksonville Jaguars,DST,JAX,4.8,0.5,0.5,2.5, ,0.2
New Orleans Saints,DST,NO,4.8,0.5,0.5,2.5, ,0.2
New York Giants,DST,NYG,4.6,0.4,0.5,1.8, ,0.1
Tampa Bay Buccaneers,DST,TB,4.5,0.8,0.5,1.6, ,0.2
San Francisco 49ers,DST,SF,4.0,0.6,0.3,1.1, ,0.1
Minnesota Vikings,DST,MIN,3.9,0.5,0.5,1.8, ,0.2
Oakland Raiders,DST,OAK,3.6,0.9,0.5,1.4, ,0.2
Green Bay Packers,DST,GB,3.4,0.8,0.4,1.8, ,0.2
Denver Broncos,DST,DEN,3.3,0.7,0.5,1.6, ,0.2
Atlanta Falcons,DST,ATL,,,,, ,
Dallas Cowboys,DST,DAL,,,,, ,
Tennessee Titans,DST,TEN,,,,, ,
Los Angeles Chargers,DST,LAC,,,,, ,
