Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Blk,PA,POS
San Francisco 49ers,SF,1.0,2.35,0.97,0.6,0.03,0.13,0.08,22.44,DST
Chicago Bears,CHI,1.0,2.64,1.07,0.65,0.03,0.17,0.09,17.36,DST
Cincinnati Bengals,CIN,1.0,2.21,1.0,0.71,0.04,0.12,0.07,22.76,DST
Buffalo Bills,BUF,1.0,1.69,0.7,0.63,0.03,0.14,0.07,26.9,DST
Denver Broncos,DEN,1.0,1.75,0.76,0.67,0.03,0.11,0.12,25.38,DST
Cleveland Browns,CLE,1.0,1.95,0.63,0.77,0.03,0.11,0.11,27.19,DST
Tampa Bay Buccaneers,TB,1.0,2.04,0.84,0.62,0.03,0.11,0.11,23.26,DST
Arizona Cardinals,ARI,1.0,2.88,0.87,0.76,0.06,0.1,0.08,22.89,DST
Kansas City Chiefs,KC,1.0,1.97,1.08,0.66,0.04,0.16,0.08,18.62,DST
Indianapolis Colts,IND,1.0,1.94,0.91,0.56,0.02,0.12,0.09,21.77,DST
Miami Dolphins,MIA,1.0,2.8,0.98,0.48,0.03,0.1,0.11,24.36,DST
Philadelphia Eagles,PHI,1.0,2.07,1.02,0.75,0.03,0.11,0.08,23.04,DST
New York Giants,NYG,1.0,2.06,0.85,0.67,0.03,0.12,0.07,21.51,DST
Jacksonville Jaguars,JAX,1.0,2.38,0.82,0.67,0.04,0.11,0.09,21.76,DST
New York Jets,NYJ,1.0,2.35,0.8,0.71,0.03,0.11,0.09,23.97,DST
Detroit Lions,DET,1.0,2.7,0.85,0.66,0.06,0.12,0.1,21.41,DST
Green Bay Packers,GB,1.0,2.19,0.91,0.67,0.03,0.09,0.08,26.34,DST
Carolina Panthers,CAR,1.0,1.95,0.84,0.69,0.03,0.12,0.08,24.41,DST
New England Patriots,NE,1.0,2.22,1.35,0.67,0.02,0.15,0.09,16.99,DST
Oakland Raiders,OAK,1.0,1.66,0.89,0.62,0.03,0.11,0.08,23.12,DST
Los Angeles Rams,LAR,1.0,2.3,0.91,0.61,0.04,0.14,0.13,19.44,DST
Baltimore Ravens,BAL,1.0,2.41,0.98,0.64,0.03,0.11,0.09,19.03,DST
Washington Redskins,WAS,1.0,2.29,0.88,0.58,0.03,0.11,0.09,20.95,DST
New Orleans Saints,NO,1.0,2.32,0.82,0.72,0.03,0.11,0.07,24.49,DST
Seattle Seahawks,SEA,1.0,2.1,0.85,0.6,0.03,0.12,0.08,22.65,DST
Pittsburgh Steelers,PIT,1.0,3.21,0.99,0.75,0.06,0.13,0.1,18.45,DST
Houston Texans,HOU,1.0,2.47,0.85,0.65,0.03,0.12,0.09,19.75,DST
Minnesota Vikings,MIN,1.0,1.84,0.76,0.59,0.03,0.12,0.06,21.65,DST
