Player,Team,GP,Rush Yds,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.03,0.52,5.08,0.05,TE
Dwayne Allen,NE,1.0,0.03,0.08,1.17,0.02,TE
Mark Andrews,BAL,1.0,0.03,1.86,21.82,0.15,TE
Dan Arnold,NO,1.0,0.03,0.54,6.19,0.06,TE
Antony Auclair,TB,1.0,0.07,0.25,3.19,0.01,TE
Nick Boyle,BAL,1.0,0.05,1.63,15.04,0.08,TE
Cameron Brate,TB,1.0,0.03,1.43,16.35,0.1,TE
Daniel Brown,CHI,1.0,0.03,0.29,2.73,0.02,TE
Trey Burton,CHI,1.0,0.76,3.28,45.85,0.36,TE
Derek Carrier,OAK,1.0,0.02,0.41,3.13,0.03,TE
Garrett Celek,SF,1.0,0.02,0.57,7.11,0.06,TE
Orson Charles,CLE,1.0,0.03,0.15,2.44,0.03,TE
Charles Clay,BUF,1.0,0.15,2.38,26.36,0.13,TE
Tyler Conklin,MIN,1.0,0.03,0.13,1.97,0.03,TE
Jared Cook,OAK,1.0,0.06,4.54,54.75,0.35,TE
Jason Croom,BUF,1.0,0.03,1.11,13.08,0.09,TE
Alan Cross,TB,1.0,0.03,0.21,2.4,0.02,TE
Sean Culkin,LAC,1.0,0.03,0.09,0.28,0.01,TE
Darrell Daniels,ARI,1.0,0.04,0.18,2.69,0.02,TE
Vernon Davis,WAS,1.0,0.13,1.69,25.15,0.15,TE
Seth DeValve,CLE,1.0,0.03,0.48,6.14,0.05,TE
Ed Dickson,SEA,1.0,0.03,1.59,16.9,0.08,TE
Ross Dwelley,SF,1.0,0.02,0.22,3.13,0.03,TE
Gerald Everett,LAR,1.0,0.07,1.66,17.27,0.1,TE
Darren Fells,CLE,1.0,0.06,0.63,7.37,0.05,TE
Anthony Firkser,TEN,1.0,0.03,0.37,4.44,0.03,TE
Antonio Gates,LAC,1.0,0.02,2.0,21.42,0.11,TE
Rico Gathers,DAL,1.0,0.03,0.78,10.78,0.06,TE
Mike Gesicki,MIA,1.0,0.03,1.53,18.63,0.12,TE
Jimmy Graham,GB,1.0,0.07,4.23,52.04,0.29,TE
Virgil Green,LAC,1.0,0.11,1.36,13.39,0.09,TE
Ryan Griffin,HOU,1.0,0.06,2.2,24.69,0.13,TE
Xavier Grimble,PIT,1.0,0.03,0.46,4.99,0.04,TE
Demetrius Harris,KC,1.0,0.03,1.14,11.97,0.08,TE
Chris Herndon,NYJ,1.0,0.1,1.91,24.1,0.19,TE
Jeff Heuerman,DEN,1.0,0.08,2.36,23.14,0.17,TE
Tyler Higbee,LAR,1.0,0.07,1.24,13.06,0.1,TE
Josh Hill,NO,1.0,0.16,1.68,18.84,0.12,TE
Austin Hooper,ATL,1.0,0.1,3.83,38.94,0.22,TE
O.J. Howard,TB,1.0,0.12,3.07,47.09,0.35,TE
Hayden Hurst,BAL,1.0,0.77,1.14,13.62,0.1,TE
Jesse James,PIT,1.0,0.07,2.3,26.11,0.15,TE
Blake Jarwin,DAL,1.0,0.08,1.14,11.51,0.08,TE
Travis Kelce,KC,1.0,0.14,5.62,69.96,0.46,TE
Lance Kendricks,GB,1.0,0.02,1.02,9.15,0.07,TE
George Kittle,SF,1.0,0.12,5.15,65.16,0.4,TE
Matt LaCosse,DEN,1.0,0.03,1.51,15.96,0.12,TE
Jordan Leggett,NYJ,1.0,0.02,0.48,5.11,0.04,TE
Marcedes Lewis,GB,1.0,0.04,0.36,3.46,0.04,TE
Chris Manhertz,CAR,1.0,0.03,0.34,2.88,0.03,TE
Vance McDonald,PIT,1.0,0.13,3.47,37.14,0.19,TE
David Morgan,MIN,1.0,0.04,0.31,3.67,0.03,TE
David Njoku,CLE,1.0,0.08,3.42,39.78,0.24,TE
Nick O'Leary,MIA,1.0,0.04,1.74,23.27,0.16,TE
Greg Olsen,CAR,1.0,0.08,4.41,50.4,0.35,TE
Brian Parker,DEN,1.0,0.03,0.28,2.77,0.03,TE
Logan Paulsen,ATL,1.0,0.07,0.16,1.63,0.01,TE
MyCole Pruitt,TEN,1.0,0.03,0.08,0.84,0.01,TE
Jordan Reed,WAS,1.0,0.08,4.55,48.97,0.29,TE
Michael Roberts,DET,1.0,0.04,0.74,7.94,0.07,TE
Kyle Rudolph,MIN,1.0,0.05,3.64,36.64,0.23,TE
Eric Saubert,ATL,1.0,0.03,0.24,2.28,0.03,TE
Dalton Schultz,DAL,1.0,0.04,1.1,12.37,0.07,TE
Dion Sims,CHI,1.0,0.03,0.42,3.77,0.03,TE
Jonnu Smith,TEN,1.0,0.05,1.33,12.7,0.08,TE
Lee Smith,OAK,1.0,0.02,0.26,3.1,0.02,TE
Durham Smythe,MIA,1.0,0.02,0.1,2.45,0.02,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.12,1.66,0.02,TE
Luke Stocker,TEN,1.0,0.05,0.83,7.59,0.07,TE
Ian Thomas,CAR,1.0,0.04,0.4,4.97,0.04,TE
Jordan Thomas,HOU,1.0,0.06,1.31,14.45,0.12,TE
Logan Thomas,BUF,1.0,0.03,0.25,4.23,0.04,TE
Levine Toilolo,DET,1.0,0.03,0.86,7.14,0.07,TE
Eric Tomlinson,NYJ,1.0,0.03,0.53,5.08,0.04,TE
Nick Vannett,SEA,1.0,0.07,1.81,22.35,0.11,TE
Benjamin Watson,NO,1.0,0.03,2.42,24.91,0.22,TE
Luke Willson,DET,1.0,0.06,1.64,14.52,0.09,TE
Deon Yelder,KC,1.0,0.03,0.06,0.66,0.01,TE
