Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Alvin Kamara,RB,NO,0.0,0.0,0.0,73.9,0.7,4.8,47.3,0.2, 
David Johnson,RB,ARI,0.0,0.0,0.0,74.3,0.6,4.8,45.3,0.2, 
Todd Gurley,RB,LAR,0.0,0.0,0.0,82.5,0.7,4.2,37.7,0.2, 
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,83.0,0.7,2.9,25.3,0.1, 
Leonard Fournette,RB,JAX,0.0,0.0,0.0,78.9,0.7,2.5,20.8,0.1,Q
Saquon Barkley,RB,NYG,0.0,0.0,0.0,67.1,0.4,3.7,31.2,0.2, 
Melvin Gordon,RB,LAC,0.0,0.0,0.0,68.6,0.4,3.8,32.4,0.1, 
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,50.9,0.3,4.3,37.0,0.2, 
Kareem Hunt,RB,FA,0.0,0.0,13.8,0.4,3.6,27.9,0.1,, 
LeSean McCoy,RB,BUF,0.0,0.0,0.0,65.6,0.3,3.7,27.8,0.1, 
Dalvin Cook,RB,MIN,0.0,0.0,0.0,61.1,0.4,3.1,29.3,0.1, 
Joe Mixon,RB,CIN,0.0,0.0,0.0,57.1,0.4,2.7,23.0,0.1, 
Royce Freeman,RB,DEN,0.0,0.0,0.0,65.0,0.4,2.2,17.5,0.1, 
Alex Collins,RB,BAL,0.0,0.0,0.0,72.9,0.4,1.8,14.0,0.0,IR
Devonta Freeman,RB,ATL,0.0,0.0,0.0,51.4,0.4,2.7,22.2,0.1,IR
James Conner,RB,PIT,0.0,0.0,0.0,67.5,0.5,1.7,14.0,0.1, 
Kenyan Drake,RB,MIA,0.0,0.0,0.0,51.8,0.3,2.7,20.4,0.1, 
Jamaal Williams,RB,GB,0.0,0.0,0.0,58.6,0.4,1.7,14.7,0.1, 
Derrick Henry,RB,TEN,0.0,0.0,0.0,62.2,0.5,1.4,12.7,0.1, 
Rex Burkhead,RB,NE,0.0,0.0,0.0,44.1,0.4,2.5,20.9,0.1, 
Jordan Howard,RB,CHI,0.0,0.0,0.0,57.0,0.4,1.9,15.8,0.1, 
Lamar Miller,RB,HOU,0.0,0.0,0.0,53.4,0.2,2.5,18.6,0.1, 
Isaiah Crowell,RB,NYJ,0.0,0.0,0.0,51.1,0.3,2.1,17.2,0.1,IR
Jay Ajayi,RB,PHI,0.0,0.0,0.0,63.9,0.3,1.4,10.8,0.0,IR
Bilal Powell,RB,NYJ,0.0,0.0,0.0,43.1,0.3,2.6,20.6,0.1,IR
Dion Lewis,RB,TEN,0.0,0.0,0.0,38.7,0.3,2.7,23.3,0.1, 
Ty Montgomery,RB,BAL,0.0,0.0,0.0,35.0,0.2,2.9,22.9,0.1, 
Chris Carson,RB,SEA,0.0,0.0,0.0,52.3,0.3,1.7,13.6,0.1, 
Carlos Hyde,RB,JAX,0.0,0.0,0.0,56.3,0.5,1.1,8.2,0.1, 
Marshawn Lynch,RB,OAK,0.0,0.0,0.0,46.2,0.3,2.0,15.0,0.1,IR
Jordan Wilkins,RB,IND,0.0,0.0,0.0,46.7,0.3,1.9,15.0,0.1, 
Duke Johnson,RB,CLE,0.0,0.0,0.0,20.9,0.1,3.5,32.2,0.1, 
Tarik Cohen,RB,CHI,0.0,0.0,0.0,18.2,0.1,3.5,30.0,0.1, 
James White,RB,NE,0.0,0.0,0.0,12.7,0.1,3.8,30.2,0.2, 
Peyton Barber,RB,TB,0.0,0.0,0.0,55.9,0.2,1.7,13.1,0.0, 
Chris Thompson,RB,WAS,0.0,0.0,0.0,21.6,0.1,3.2,28.2,0.1, 
Tevin Coleman,RB,ATL,0.0,0.0,0.0,35.3,0.2,2.3,20.7,0.1, 
Adrian Peterson,RB,WAS,0.0,0.0,0.0,53.6,0.4,1.0,7.5,0.0, 
Kerryon Johnson,RB,DET,0.0,0.0,0.0,41.9,0.3,1.8,14.4,0.1,IR
Latavius Murray,RB,MIN,0.0,0.0,0.0,36.7,0.3,1.7,13.0,0.0, 
Theo Riddick,RB,DET,0.0,0.0,0.0,12.2,0.1,3.2,25.7,0.2,Q
Matt Breida,RB,SF,0.0,0.0,0.0,30.9,0.2,2.2,17.2,0.1,IR
Giovani Bernard,RB,CIN,0.0,0.0,0.0,23.6,0.1,2.6,23.4,0.1, 
Alfred Morris,RB,SF,0.0,0.0,0.0,45.7,0.3,1.1,8.6,0.0, 
Jeremy Hill,RB,NE,0.0,0.0,0.0,38.4,0.4,0.9,6.5,0.0,IR
Jacquizz Rodgers,RB,TB,0.0,0.0,0.0,27.6,0.1,2.4,16.3,0.1, 
Javorius Allen,RB,BAL,0.0,0.0,0.0,22.0,0.1,2.4,16.9,0.1, 
Darren Sproles,RB,PHI,0.0,0.0,0.0,17.9,0.1,2.4,19.2,0.1, 
Devontae Booker,RB,DEN,0.0,0.0,0.0,24.1,0.1,1.9,16.1,0.1, 
Nyheim Hines,RB,IND,0.0,0.0,0.0,20.3,0.1,2.1,16.8,0.1, 
Corey Clement,RB,PHI,0.0,0.0,0.0,22.2,0.2,1.7,15.4,0.1,IR
C.J. Anderson,RB,LAR,0.0,0.0,0.0,34.6,0.2,0.9,7.5,0.0, 
LeGarrette Blount,RB,DET,0.0,0.0,0.0,37.9,0.4,0.4,3.1,0.0, 
Austin Ekeler,RB,LAC,0.0,0.0,0.0,23.6,0.1,1.6,14.8,0.1, 
Doug Martin,RB,OAK,0.0,0.0,0.0,22.4,0.2,1.7,13.0,0.0, 
Kyle Juszczyk,RB,SF,0.0,0.0,0.0,2.1,0.0,2.9,23.4,0.1, 
Frank Gore,RB,MIA,0.0,0.0,0.0,26.5,0.1,1.5,12.1,0.0,IR
T.J. Yeldon,RB,JAX,0.0,0.0,0.0,19.3,0.1,1.7,14.0,0.0, 
Jaylen Samuels,RB,PIT,0.0,0.0,0.0,12.2,0.1,2.1,17.2,0.1, 
Alfred Blue,RB,HOU,0.0,0.0,0.0,29.4,0.1,1.1,8.3,0.0, 
Rashaad Penny,RB,SEA,0.0,0.0,0.0,25.8,0.2,1.1,8.8,0.0, 
Kenneth Dixon,RB,BAL,0.0,0.0,0.0,21.0,0.1,1.6,11.0,0.0, 
Chris Ivory,RB,BUF,0.0,0.0,0.0,21.8,0.2,1.0,7.6,0.0, 
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,13.8,0.1,1.4,10.8,0.0,IR
Jalen Richard,RB,OAK,0.0,0.0,0.0,9.2,0.0,1.7,13.3,0.0, 
Stevan Ridley,RB,PIT,0.0,0.0,0.0,20.9,0.2,0.5,4.1,0.0, 
Chase Edmonds,RB,ARI,0.0,0.0,0.0,15.3,0.1,0.8,6.4,0.0, 
Corey Grant,RB,JAX,0.0,0.0,0.0,11.9,0.1,1.0,8.0,0.0,IR
Jonathan Stewart,RB,NYG,0.0,0.0,0.0,19.5,0.1,0.4,2.8,0.0,IR
John Kelly,RB,LAR,0.0,0.0,0.0,17.1,0.1,0.4,3.1,0.0, 
Rod Smith,RB,DAL,0.0,0.0,0.0,11.4,0.1,0.6,5.4,0.0, 
Jonathan Williams,RB,IND,0.0,0.0,0.0,10.7,0.1,0.5,4.4,0.0, 
C.J. Prosise,RB,SEA,0.0,0.0,0.0,6.1,0.0,0.9,8.4,0.0,IR
Rob Kelley,RB,WAS,0.0,0.0,0.0,11.6,0.1,0.5,3.7,0.0,IR
Spencer Ware,RB,KC,0.0,0.0,0.0,14.1,0.1,0.4,3.2,0.0, 
Wayne Gallman,RB,NYG,0.0,0.0,0.0,8.8,0.0,0.8,5.7,0.0, 
Nick Chubb,RB,CLE,0.0,0.0,0.0,13.9,0.1,0.2,1.8,0.0, 
Raheem Mostert,RB,SF,0.0,0.0,0.0,5.1,0.0,0.8,6.4,0.0,IR
T.J. Logan,RB,ARI,0.0,0.0,0.0,9.1,0.0,0.6,4.3,0.0, 
Trenton Cannon,RB,NYJ,0.0,0.0,0.0,5.6,0.0,0.8,6.4,0.0, 
Damien Williams,RB,KC,0.0,0.0,0.0,3.5,0.0,0.9,7.0,0.0, 
Marcus Murphy,RB,BUF,0.0,0.0,0.0,7.4,0.0,0.5,3.8,0.0,IR
Benny Cunningham,RB,CHI,0.0,0.0,0.0,2.1,0.0,0.6,4.9,0.0, 
Detrez Newsome,RB,LAC,0.0,0.0,0.0,6.3,0.0,0.3,2.2,0.0, 
Cameron Artis-Payne,RB,CAR,0.0,0.0,0.0,4.7,0.0,0.2,1.8,0.0, 
Derek Watt,RB,LAC,0.0,0.0,0.0,1.3,0.0,0.4,3.3,0.0, 
Patrick DiMarco,RB,BUF,0.0,0.0,0.0,0.4,0.0,0.5,4.0,0.0, 
Malcolm Brown,RB,LAR,0.0,0.0,0.0,5.3,0.0,0.1,1.0,0.0,IR
Zach Line,RB,NO,0.0,0.0,0.0,2.1,0.0,0.3,2.2,0.0, 
Tommy Bohanon,RB,JAX,0.0,0.0,0.0,1.1,0.0,0.4,3.2,0.0, 
Andy Janovich,RB,DEN,0.0,0.0,0.0,1.8,0.0,0.3,2.2,0.0, 
Ito Smith,RB,ATL,0.0,0.0,0.0,2.2,0.0,0.3,2.0,0.0,IR
Keith Smith,RB,OAK,0.0,0.0,0.0,1.0,0.0,0.3,2.1,0.0, 
David Fluellen,RB,TEN,0.0,0.0,0.0,3.3,0.0,0.1,0.9,0.0,IR
Michael Burton,RB,CHI,0.0,0.0,0.0,0.7,0.0,0.3,2.3,0.0, 
Ameer Abdullah,RB,MIN,0.0,0.0,0.0,2.9,0.0,0.1,1.0,0.0, 
Jamize Olawale,RB,DAL,0.0,0.0,0.0,1.0,0.0,0.2,2.2,0.0, 
C.J. Ham,RB,MIN,0.0,0.0,0.0,0.4,0.0,0.3,2.2,0.0,Q
Anthony Sherman,RB,KC,0.0,0.0,0.0,0.9,0.0,0.3,1.9,0.0, 
James Develin,RB,NE,0.0,0.0,0.0,0.0,0.0,0.3,2.2,0.0, 
Ricky Ortiz,RB,ATL,0.0,0.0,0.0,0.0,0.0,0.3,2.0,0.0, 
Roosevelt Nix,RB,PIT,0.0,0.0,0.0,0.9,0.0,0.1,1.1,0.0, 
Wendell Smallwood,RB,PHI,0.0,0.0,0.0,1.1,0.0,0.1,1.1,0.0, 
Derrick Coleman,RB,ARI,0.0,0.0,0.0,0.4,0.0,0.1,1.1,0.0, 
Tre Madden,RB,SEA,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,Q
Taiwan Jones,RB,BUF,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,IR
Brandon Bolden,RB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q
Alex Armah,RB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Sony Michel,RB,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Ronald Jones,RB,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
