Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
David Johnson,RB,ARI,110,1,6,40,0
Todd Gurley,RB,LAR,105,1,4,35,0
Leonard Fournette,RB,JAX,100,1,3,25,0
Alex Collins,RB,BAL,90,1,2,20,0
Ezekiel Elliott,RB,DAL,85,1,3,25,0
Melvin Gordon,RB,LAC,80,1,4,30,0
Alvin Kamara,RB,NO,70,0,6,40,1
Kenyan Drake,RB,MIA,75,1,4,30,0
LeSean McCoy,RB,BUF,75,1,4,30,0
Dalvin Cook,RB,MIN,75,1,4,25,0
Royce Freeman,RB,DEN,80,1,2,20,0
Christian McCaffrey,RB,CAR,60,1,5,40,0
Devonta Freeman,RB,ATL,60,1,4,35,0
Jordan Howard,RB,CHI,75,1,2,20,0
Marshawn Lynch,RB,OAK,75,1,3,20,0
Joe Mixon,RB,CIN,70,1,3,25,0
James Conner,RB,PIT,65,1,3,20,0
Derrick Henry,RB,TEN,70,1,1,10,0
Kerryon Johnson,RB,DET,60,1,2,20,0
Bilal Powell,RB,NYJ,45,1,4,30,0
Adrian Peterson,RB,WAS,60,1,1,5,0
Rex Burkhead,RB,NE,40,1,2,20,0
Saquon Barkley,RB,NYG,80,0,3,25,0
Lamar Miller,RB,HOU,65,0,4,35,0
Alfred Morris,RB,SF,40,1,0,0,0
Peyton Barber,RB,TB,65,0,3,25,0
James White,RB,NE,40,0,6,40,0
Jamaal Williams,RB,GB,70,0,1,10,0
Jay Ajayi,RB,PHI,60,0,2,10,0
Matt Breida,RB,SF,35,0,4,35,0
Dion Lewis,RB,TEN,40,0,4,30,0
Giovani Bernard,RB,CIN,35,0,4,30,0
Chris Carson,RB,SEA,50,0,2,15,0
Tevin Coleman,RB,ATL,40,0,2,20,0
Jordan Wilkins,RB,IND,50,0,1,10,0
Isaiah Crowell,RB,NYJ,40,0,2,15,0
Chris Thompson,RB,WAS,20,0,4,35,0
Tarik Cohen,RB,CHI,25,0,3,25,0
Devontae Booker,RB,DEN,35,0,1,10,0
Duke Johnson,RB,CLE,25,0,2,20,0
Javorius Allen,RB,BAL,20,0,2,20,0
Corey Clement,RB,PHI,30,0,1,10,0
Nyheim Hines,RB,IND,20,0,2,20,0
Theo Riddick,RB,DET,15,0,4,25,0
Chris Ivory,RB,BUF,25,0,1,10,0
Latavius Murray,RB,MIN,35,0,0,0,0
Jalen Richard,RB,OAK,15,0,2,20,0
Jacquizz Rodgers,RB,TB,25,0,1,10,0
Darren Sproles,RB,PHI,20,0,2,15,0
Austin Ekeler,RB,LAC,30,0,0,0,0
Wayne Gallman,RB,NYG,15,0,2,15,0
Frank Gore,RB,MIA,25,0,1,5,0
C.J. Prosise,RB,SEA,10,0,2,20,0
T.J. Yeldon,RB,JAX,20,0,1,10,0
LeGarrette Blount,RB,DET,25,0,0,0,0
Alfred Blue,RB,HOU,15,0,1,10,0
Rashaad Penny,RB,SEA,20,0,1,5,0
Rod Smith,RB,DAL,15,0,1,10,0
Chase Edmonds,RB,ARI,15,0,1,5,0
Corey Grant,RB,JAX,10,0,1,10,0
Spencer Ware,RB,KC,15,0,1,5,0
Jeremy Hill,RB,NE,15,0,0,0,0
John Kelly,RB,LAR,10,0,1,5,0
Doug Martin,RB,OAK,15,0,0,0,0
Nick Chubb,RB,CLE,10,0,0,0,0
Kenneth Dixon,RB,BAL,10,0,0,0,0
Ronald Jones,RB,TB,10,0,0,0,0
Rob Kelley,RB,WAS,10,0,0,0,0
Marlon Mack,RB,IND,10,0,0,0,0
Ito Smith,RB,ATL,5,0,0,0,0
Jonathan Stewart,RB,NYG,5,0,0,0,0
