Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Derek Watt,RB,LAC,0.8,0.0,0.2,1.5,0.0
Tommy Bohanon,RB,JAX,0.4,0.0,0.3,2.0,0.0
C.J. Ham,RB,MIN,0.7,0.0,0.3,1.6,0.0
David Fluellen,RB,TEN,1.9,0.0,0.1,0.5,0.0
Roosevelt Nix,RB,PIT,0.3,0.0,0.2,1.4,0.0
Michael Burton,RB,CHI,0.2,0.0,0.2,1.2,0.0
Derrick Coleman,RB,ARI,0.6,0.0,0.1,0.9,0.0
Tyler Ervin,RB,BAL,0.1,0.0,0.2,1.1,0.0
Ricky Ortiz,RB,ATL,0.0,0.0,0.2,1.1,0.0
Taiwan Jones,RB,BUF,0.5,0.0,0.0,0.2,0.0
