Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Blk,PA,POS
San Francisco 49ers,SF,1.0,2.01,0.65,0.64,0.04,0.09,0.08,24.03,DST
Chicago Bears,CHI,1.0,2.05,0.9,0.58,0.03,0.16,0.08,20.82,DST
Cincinnati Bengals,CIN,1.0,1.69,0.71,0.64,0.02,0.1,0.09,24.62,DST
Buffalo Bills,BUF,1.0,1.91,0.99,0.67,0.04,0.11,0.07,26.58,DST
Denver Broncos,DEN,1.0,2.46,0.88,0.63,0.03,0.11,0.11,22.83,DST
Cleveland Browns,CLE,1.0,2.37,0.95,0.74,0.03,0.09,0.09,24.87,DST
Tampa Bay Buccaneers,TB,1.0,2.41,0.85,0.69,0.05,0.14,0.09,21.69,DST
Arizona Cardinals,ARI,1.0,2.23,0.98,0.65,0.04,0.14,0.07,21.97,DST
Los Angeles Chargers,LAC,1.0,2.44,0.97,0.62,0.05,0.14,0.07,16.43,DST
Kansas City Chiefs,KC,1.0,2.12,0.99,0.6,0.03,0.14,0.1,19.81,DST
Indianapolis Colts,IND,1.0,2.08,1.05,0.66,0.03,0.12,0.09,19.4,DST
Dallas Cowboys,DAL,1.0,2.21,0.87,0.59,0.02,0.11,0.07,20.12,DST
Miami Dolphins,MIA,1.0,2.21,0.78,0.45,0.04,0.15,0.12,21.29,DST
Philadelphia Eagles,PHI,1.0,2.32,0.95,0.67,0.04,0.13,0.1,18.59,DST
Atlanta Falcons,ATL,1.0,2.11,0.88,0.62,0.03,0.16,0.09,20.09,DST
New York Giants,NYG,1.0,2.01,0.73,0.58,0.02,0.12,0.07,26.33,DST
Jacksonville Jaguars,JAX,1.0,3.16,1.06,0.65,0.06,0.12,0.08,18.18,DST
New York Jets,NYJ,1.0,2.02,0.81,0.71,0.05,0.1,0.07,22.15,DST
Detroit Lions,DET,1.0,2.1,0.86,0.67,0.02,0.1,0.1,21.65,DST
Carolina Panthers,CAR,1.0,2.2,0.84,0.67,0.03,0.11,0.09,24.84,DST
New England Patriots,NE,1.0,2.56,0.89,0.75,0.03,0.12,0.09,21.35,DST
Los Angeles Rams,LAR,1.0,2.58,0.96,0.68,0.03,0.12,0.12,21.34,DST
Baltimore Ravens,BAL,1.0,2.02,0.86,0.64,0.03,0.13,0.07,17.43,DST
Washington Redskins,WAS,1.0,2.58,0.86,0.66,0.05,0.1,0.07,20.59,DST
New Orleans Saints,NO,1.0,2.07,0.81,0.65,0.02,0.1,0.09,25.97,DST
Houston Texans,HOU,1.0,2.29,0.85,0.7,0.02,0.09,0.07,24.85,DST
Tennessee Titans,TEN,1.0,1.75,0.76,0.72,0.02,0.09,0.05,24.31,DST
Minnesota Vikings,MIN,1.0,2.45,0.86,0.62,0.03,0.11,0.08,20.57,DST
