Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,339.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,381.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,551.0,0.0,0.0,0.0,0.0,1.0,DST
Buffalo Bills,BUF,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,376.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,6.0,3.0,2.0,3.0,0.0,2.0,0.0,61.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,223.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,88.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,456.0,0.0,0.0,0.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,305.0,0.0,1.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,309.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,390.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,44.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,239.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,305.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,93.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,457.0,0.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,371.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,433.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,111.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,423.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,272.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,316.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,322.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,81.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,342.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,182.0,1.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,453.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Rams,LA,1.0,7.0,2.0,2.0,2.0,1.0,0.0,1.0,83.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,228.0,1.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,339.0,0.0,1.0,0.0,0.0,0.0,DST
