Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Jacksonville Jaguars,DST,JAX,18.5,315,1.8,0.8,3.6,0.0,0.36
Denver Broncos,DST,DEN,18.7,267,1.4,0.7,2.8,0.0,0.26
Los Angeles Rams,DST,LAR,20.5,341,1.4,1.1,3.1,0.0,0.38
Indianapolis Colts,DST,IND,18.3,287,1.1,0.7,3.0,0.0,0.25
Minnesota Vikings,DST,MIN,21.1,314,1.7,1.1,2.4,0.0,0.37
Detroit Lions,DST,DET,19.8,308,1.1,0.9,2.2,0.0,0.32
Arizona Cardinals,DST,ARI,19.4,371,1.0,0.8,3.0,0.0,0.23
Los Angeles Chargers,DST,LAC,17.6,308,1.0,0.6,3.0,0.0,0.26
Buffalo Bills,DST,BUF,24.5,301,1.2,1.0,3.1,0.1,0.27
Philadelphia Eagles,DST,PHI,19.0,336,1.1,0.8,1.7,0.0,0.28
Dallas Cowboys,DST,DAL,20.9,320,0.4,1.3,2.2,0.0,0.23
New England Patriots,DST,NE,19.6,343,0.7,0.8,2.1,0.0,0.25
Cleveland Browns,DST,CLE,24.8,384,1.4,0.9,2.1,0.0,0.28
Tampa Bay Buccaneers,DST,TB,21.2,414,0.9,1.2,2.5,0.0,0.27
Chicago Bears,DST,CHI,22.7,354,0.8,0.9,2.7,0.1,0.24
Kansas City Chiefs,DST,KC,23.0,363,1.0,0.8,1.9,0.0,0.34
Houston Texans,DST,HOU,25.0,358,1.0,1.0,1.8,0.1,0.25
Miami Dolphins,DST,MIA,23.9,374,0.9,0.8,2.2,0.0,0.28
New York Jets,DST,NYJ,23.4,386,0.7,1.1,2.0,0.0,0.27
Washington Redskins,DST,WAS,21.7,332,0.8,0.9,2.3,0.0,0.23
Baltimore Ravens,DST,BAL,22.8,354,0.6,0.8,2.5,0.0,0.26
Atlanta Falcons,DST,ATL,22.1,377,0.6,0.8,2.2,0.0,0.25
Carolina Panthers,DST,CAR,28.1,361,0.7,1.2,2.9,0.0,0.27
Tennessee Titans,DST,TEN,24.6,371,0.9,0.7,1.5,0.0,0.24
New Orleans Saints,DST,NO,28.0,355,0.9,0.7,1.7,0.0,0.24
San Francisco 49ers,DST,SF,33.1,401,0.8,0.7,1.3,0.0,0.22
New York Giants,DST,NYG,30.3,385,0.7,0.4,1.3,0.0,0.18
