Player,Team,Salary
Denver Broncos,DEN,4100
Los Angeles Rams,LAR,5000
New England Patriots,NE,3500
Indianapolis Colts,IND,4100
Washington Redskins,WAS,3500
Houston Texans,HOU,4800
Cleveland Browns,CLE,3200
Kansas City Chiefs,KC,3300
Minnesota Vikings,MIN,4600
Tampa Bay Buccaneers,TB,3900
Carolina Panthers,CAR,3700
Chicago Bears,CHI,3700
Atlanta Falcons,ATL,4000
New York Giants,NYG,3000
Los Angeles Chargers,LAC,4500
Detroit Lions,DET,3800
Arizona Cardinals,ARI,3900
Baltimore Ravens,BAL,3400
Tennessee Titans,TEN,3400
Philadelphia Eagles,PHI,4200
Jacksonville Jaguars,JAX,4400
Dallas Cowboys,DAL,4100
New Orleans Saints,NO,3600
Cincinnati Bengals,CIN,3100
Miami Dolphins,MIA,3500
Buffalo Bills,BUF,3400
San Francisco 49ers,SF,3000
New York Jets,NYJ,3700
