Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Jacksonville Jaguars,DST,JAX,18.9,324.1,1.2,0.7,3.5,0.0,0.3
Los Angeles Chargers,DST,LAC,19.7,321.3,1.0,0.6,2.9,0.0,0.2
Los Angeles Rams,DST,LAR,21.7,348.7,1.3,0.7,2.7,0.0,0.3
Indianapolis Colts,DST,IND,19.2,299.9,1.1,0.6,2.5,0.0,0.2
Denver Broncos,DST,DEN,18.5,291.1,0.9,0.6,2.4,0.0,0.2
Minnesota Vikings,DST,MIN,20.1,312.8,1.1,0.7,2.4,0.0,0.2
Tampa Bay Buccaneers,DST,TB,23.5,389.2,1.0,0.8,2.6,0.0,0.2
Kansas City Chiefs,DST,KC,25.5,394.3,1.1,0.7,2.2,0.0,0.2
Detroit Lions,DST,DET,22.0,337.8,1.0,0.7,2.3,0.0,0.2
Houston Texans,DST,HOU,24.2,361.4,1.0,0.7,2.2,0.1,0.2
Cleveland Browns,DST,CLE,24.9,371.6,1.1,0.6,2.3,0.0,0.2
Arizona Cardinals,DST,ARI,20.5,368.8,1.0,0.7,2.5,0.0,0.2
Carolina Panthers,DST,CAR,25.0,359.1,0.7,0.7,2.7,0.0,0.2
Washington Redskins,DST,WAS,23.3,372.6,0.9,0.7,2.6,0.0,0.2
Philadelphia Eagles,DST,PHI,20.0,333.9,1.0,0.6,2.3,0.0,0.2
Buffalo Bills,DST,BUF,22.5,310.3,1.0,0.7,2.1,0.1,0.2
Miami Dolphins,DST,MIA,23.8,368.7,1.0,0.7,2.0,0.0,0.2
Chicago Bears,DST,CHI,24.7,369.9,0.8,0.7,2.5,0.1,0.2
Atlanta Falcons,DST,ATL,23.3,373.5,0.7,0.6,2.6,0.0,0.2
New York Jets,DST,NYJ,23.6,382.1,0.8,0.7,2.2,0.0,0.2
Baltimore Ravens,DST,BAL,24.3,366.5,0.7,0.7,2.3,0.0,0.2
New England Patriots,DST,NE,22.7,355.5,0.8,0.6,2.4,0.0,0.2
Dallas Cowboys,DST,DAL,20.9,334.5,0.5,0.9,2.7,0.0,0.1
New Orleans Saints,DST,NO,27.1,371.3,0.9,0.7,2.1,0.0,0.2
Tennessee Titans,DST,TEN,28.7,403.4,0.8,0.7,2.0,0.0,0.2
San Francisco 49ers,DST,SF,32.9,411.5,0.8,0.6,2.1,0.0,0.1
New York Giants,DST,NYG,28.9,397.2,0.8,0.5,1.8,0.0,0.2
Cincinnati Bengals,DST,CIN,31.6,392.4,0.8,0.5,1.7,0.0,0.2
