Player,POS,Team,Fantasy Points,Int,Fum Rec,Sack,Status,TD
Jacksonville Jaguars,DST,JAX,8.7,1.1,0.5,3.8, ,0.2
Los Angeles Rams,DST,LAR,7.4,1.2,0.5,2.2, ,0.2
Los Angeles Chargers,DST,LAC,6.9,0.7,0.4,2.6, ,0.1
Cleveland Browns,DST,CLE,6.6,1.2,0.5,2.5, ,0.2
Indianapolis Colts,DST,IND,6.5,0.7,0.4,2.0, ,0.2
Buffalo Bills,DST,BUF,6.5,1.2,0.7,1.7, ,0.2
Philadelphia Eagles,DST,PHI,6.5,0.8,0.5,2.3, ,0.2
Arizona Cardinals,DST,ARI,6.4,1.0,0.7,2.4, ,0.2
Houston Texans,DST,HOU,6.3,1.1,0.5,2.5, ,0.2
Washington Redskins,DST,WAS,6.2,0.7,0.5,2.6, ,0.2
Carolina Panthers,DST,CAR,6.2,0.7,0.6,3.1, ,0.2
Miami Dolphins,DST,MIA,6.2,1.2,0.5,2.2, ,0.2
Tampa Bay Buccaneers,DST,TB,6.2,1.0,0.6,2.4, ,0.2
Atlanta Falcons,DST,ATL,6.0,0.6,0.4,2.7, ,0.2
Chicago Bears,DST,CHI,5.9,1.0,0.6,2.1, ,0.2
Minnesota Vikings,DST,MIN,5.8,0.8,0.4,1.9, ,0.2
Denver Broncos,DST,DEN,5.7,0.5,0.4,1.8, ,0.2
New York Jets,DST,NYJ,5.6,0.7,0.6,2.6, ,0.2
Dallas Cowboys,DST,DAL,5.6,0.4,0.6,2.6, ,0.1
Kansas City Chiefs,DST,KC,5.3,0.9,0.4,2.0, ,0.2
New Orleans Saints,DST,NO,5.3,0.8,0.6,2.3, ,0.2
Detroit Lions,DST,DET,5.2,0.8,0.5,1.5, ,0.2
New England Patriots,DST,NE,5.1,0.8,0.4,2.2, ,0.2
Baltimore Ravens,DST,BAL,4.7,0.5,0.6,2.2, ,0.2
Tennessee Titans,DST,TEN,4.2,0.6,0.5,1.6, ,0.2
New York Giants,DST,NYG,4.1,0.6,0.5,1.9, ,0.2
Cincinnati Bengals,DST,CIN,3.0,0.7,0.4,1.6, ,0.2
San Francisco 49ers,DST,SF,2.8,0.6,0.5,1.6, ,0.2
Green Bay Packers,DST,GB,,,,, ,
Oakland Raiders,DST,OAK,,,,, ,
Pittsburgh Steelers,DST,PIT,,,,, ,
Seattle Seahawks,DST,SEA,,,,, ,
