player,team,pos,proj,salary
Chase Daniel,CHI,QB,11.165166666666666,6000.0
Theo Riddick,DET,RB,14.327666666666664,4800.0
Saquon Barkley,NYG,RB,25.00366666666667,9000.0
Julio Jones,ATL,WR,24.018666666666668,8800.0
Tyler Boyd,CIN,WR,20.598333333333333,6800.0
Stefon Diggs,MIN,WR,20.840666666666667,7300.0
Adam Thielen,MIN,WR,23.814666666666668,8600.0
Jack Doyle,IND,TE,14.675999999999998,5500.0
Cleveland Browns,CLE,DST,1.9320000000000004,3100.0
,,,156.37683333333328,59900.0
