Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,@Car,L 17-20,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,@NYJ,L 21-34,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Bengals D/ST D/ST,@Jax,L 7-23,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Cowboys D/ST D/ST,KC,W 28-17,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,@Phi,L 23-51,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,@GB,W 30-17,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,Det,L 17-30,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,Bal,W 23-20,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,@Hou,W 20-14,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,@Dal,L 17-28,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,@Mia,W 27-24,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,@NYG,W 51-17,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,Oak,L 24-27,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Patriots D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Saints D/ST D/ST,TB,W 30-10,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,LAR,L 17-51,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,Buf,W 34-21,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,Den,W 51-23,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,@SF,W 20-10,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Chargers D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
49ers D/ST D/ST,Ari,L 10-20,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,Wsh,L 14-17,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,@NO,L 10-30,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,@Sea,W 17-14,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,Atl,W 20-17,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,Cin,W 23-7,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,@Ten,L 20-23,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,Ind,L 14-20,--,--,--,--,--,--,--,--,DST
