Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Eagles, PHI",1.4,0.0,2.9,40.7,1.3,1.8,0.35,13.8,203.0,94.0,297,18,DST
"49ers, SF",2.1,0.1,1.9,38.2,0.6,0.8,0.32,16.2,209.0,88.0,297,15,DST
"Cardinals, ARI",1.1,0.0,3.4,39.6,1.0,1.4,0.26,18.0,168.0,99.0,267,15,DST
"Jaguars, JAC",0.9,0.0,3.5,39.4,1.0,1.3,0.24,16.1,166.0,94.0,260,14,DST
"Bills, BUF",1.2,0.0,2.4,40.0,0.9,1.3,0.25,15.8,200.0,94.0,294,14,DST
"Texans, HOU",1.0,0.1,2.9,38.8,0.7,0.9,0.25,20.4,197.0,95.0,292,14,DST
"Lions, DET",1.0,0.0,2.2,43.0,0.7,1.0,0.3,17.3,171.0,124.0,295,13,DST
"Titans, TEN",1.4,0.0,1.7,42.6,0.6,0.8,0.26,18.0,187.0,93.0,280,13,DST
"Rams, LAR",1.0,0.0,2.2,40.3,0.7,1.0,0.26,15.2,188.0,93.0,281,13,DST
"Raiders, OAK",1.1,0.0,1.7,39.3,0.7,1.0,0.22,17.6,198.0,86.0,284,12,DST
"Broncos, DEN",1.0,0.0,2.6,42.6,0.8,1.0,0.22,23.0,173.0,102.0,275,11,DST
"Packers, GB",0.8,0.0,2.8,41.0,0.9,1.2,0.22,19.7,240.0,83.0,323,11,DST
"Seahawks, SEA",0.8,0.0,2.0,42.2,1.1,1.5,0.28,17.3,240.0,101.0,341,11,DST
"Saints, NO",1.3,0.0,1.7,42.5,0.7,1.0,0.28,20.6,287.0,103.0,390,11,DST
"Jets, NYJ",0.5,0.0,2.3,42.3,0.5,0.7,0.14,18.6,178.0,121.0,299,11,DST
"Giants, NYG",0.8,0.1,1.6,39.9,0.9,1.3,0.22,20.3,209.0,99.0,308,10,DST
"Bengals, CIN",1.1,0.0,2.0,43.9,0.5,0.6,0.2,20.4,162.0,147.0,309,10,DST
"Dolphins, MIA",0.8,0.0,1.7,41.0,0.8,1.1,0.24,20.5,214.0,102.0,316,10,DST
"Ravens, BAL",1.3,0.0,2.1,40.4,0.8,1.2,0.3,22.5,185.0,125.0,310,10,DST
"Falcons, ATL",1.2,0.0,2.2,43.0,0.7,1.0,0.24,21.9,191.0,116.0,307,9,DST
"Colts, IND",0.9,0.0,2.1,44.0,0.9,1.3,0.25,23.4,200.0,137.0,337,9,DST
"Panthers, CAR",0.7,0.0,3.0,42.1,0.7,1.0,0.2,22.1,233.0,105.0,338,9,DST
"Cowboys, DAL",0.3,0.0,2.7,42.5,0.9,1.2,0.17,24.7,214.0,121.0,335,8,DST
"Chiefs, KC",0.6,0.0,1.4,42.5,0.8,1.1,0.31,23.9,216.0,159.0,375,8,DST
"Redskins, WAS",1.1,0.0,2.7,43.5,0.6,0.8,0.24,27.3,252.0,112.0,364,7,DST
