Player,1-39,40-49,50+,TOT,XP,PTS,POS
"Stephen Gostkowski, NE K",17.7/18.2,8.1/9.9,3.3/5,29.2/33.1,50.4/51.5,149,K
"Justin Tucker, Bal K",19.8/20,9.4/10.9,3.9/5.5,33/36.3,32.1/32.4,144.8,K
"Matt Bryant, Atl K",16.5/17,7.6/9.3,3.1/4.6,27.2/30.9,46.3/47.3,137.9,K
"Adam Vinatieri, Ind K",16.5/16.7,7.7/9.1,3.2/4.6,27.4/30.4,41/41.4,134.3,K
"Mason Crosby, GB K",16.3/17.4,7.4/9.5,3/4.7,26.7/31.6,44/46.8,132.8,K
"Matt Prater, Det K",17/17.5,7.8/9.5,3.2/4.8,28.1/31.7,37.1/37.8,132.1,K
"Dan Bailey, Dal K",15.9/16.4,7.3/9,3/4.5,26.2/29.9,42.3/43.4,130.8,K
"Graham Gano, Car K",17.1/18.7,7.7/10.2,3.1/5.1,27.9/34,38.1/41.5,129.8,K
"Blair Walsh, Sea K",17.2/18.8,7.8/10.3,3.2/5.1,28.2/34.2,37/40.1,129.7,K
"Chris Boswell, Pit K",16.6/17.3,7.6/9.4,3.1/4.7,27.4/31.5,36.5/37.7,128.3,K
"Younghoe Koo, LAC K",16.7/17.8,7.6/9.7,3.1/4.9,27.4/32.4,37.4/39.7,128.2,K
"Sebastian Janikowski, Oak K",16.4/17.7,7.5/9.7,3/4.8,26.9/32.2,36.8/39.4,125.8,K
"Dustin Hopkins, Wsh K",16.7/18.5,7.6/10.1,3/5,27.3/33.6,35.5/39,124.7,K
"Wil Lutz, NO K",14.3/15.3,6.5/8.4,2.6/4.2,23.4/27.9,47/50.2,124.5,K
"Caleb Sturgis, LAC K",16.9/18.6,7.7/10.1,3.1/5.1,27.7/33.8,33.6/36.7,124.3,K
"Phil Dawson, Ari K",15.3/16,7/8.7,2.9/4.4,25.1/29.1,39.2/40.8,123.4,K
"Cairo Santos, NYJ K",16.5/17.7,7.5/9.6,3.1/4.8,27.2/32.1,33.1/35.2,123.3,K
"Kai Forbath, Min K",16.7/18,7.6/9.8,3.1/4.9,27.4/32.7,32.6/34.8,123.3,K
"Ka'imi Fairbairn, Hou K",16.7/17.8,7.6/9.7,3.1/4.9,27.4/32.4,31.1/33.1,122.1,K
"Nick Folk, TB K",16.1/17.6,7.3/9.6,2.9/4.8,26.4/32.1,34.6/37.6,121.1,K
"Jason Myers, Sea K",15.9/16.7,7.3/9.1,3/4.6,26.2/30.4,31.3/32.7,118.8,K
"Randy Bullock, Cin K",15.3/16.9,6.9/9.2,2.8/4.6,25/30.7,35.7/39.3,117.4,K
"Ryan Succop, Ten K",14.2/15.1,6.5/8.2,2.6/4.1,23.3/27.5,39.3/41.6,116.7,K
"Brandon McManus, Den K",15.5/16.5,7.1/9,2.9/4.5,25.4/30,31/32.9,115.6,K
"Stephen Hauschka, Buf K",14.7/15.6,6.7/8.5,2.7/4.3,24.2/28.4,33.9/35.7,114.6,K
"Aldrick Rosas, NYG K",14.3/15.2,6.5/8.3,2.6/4.2,23.4/27.7,34.3/36.4,112,K
"Connor Barth, Chi K",14.7/15.8,6.7/8.6,2.7/4.3,24.1/28.8,31/33.2,110.7,K
"Robbie Gould, SF K",14.9/15.7,6.8/8.6,2.8/4.3,24.4/28.6,27.8/29.2,109.2,K
"Greg Zuerlein, LAR K",14.8/16.3,6.7/8.9,2.7/4.4,24.2/29.6,27.8/30.4,107.2,K
"Giorgio Tavecchio, Oak K",13.9/15.4,6.5/8.6,2.6/4.3,23/28.2,31.6/34.8,106.9,K
"Zane Gonzalez, Cle K",14.5/15.4,6.6/8.4,2.7/4.2,23.7/28.1,27.6/29.3,106.4,K
"Cody Parkey, Chi K",11.9/13.1,5.4/7.1,2.2/3.6,19.5/23.8,36.1/39.5,100,K
"Chandler Catanzaro, TB K",14/15.2,6.4/8.3,2.6/4.2,22.9/27.7,23.2/25.1,98.6,K
"Shayne Graham, Atl K",0/0,0/0,0/0,0/0,0/0,0,K
"Billy Cundiff, Cle K",0/0,0/0,0/0,0/0,0/0,0,K
"Josh Brown, NYG K",0/0,0/0,0/0,0/0,0/0,0,K
"Josh Scobee, NO K",0/0,0/0,0/0,0/0,0/0,0,K
"Mike Nugent, Chi K",0/0,0/0,0/0,0/0,0/0,0,K
"Nick Novak, LAC K",0/0,0/0,0/0,0/0,0/0,0,K
"Shaun Suisham, Pit K",0/0,0/0,0/0,0/0,0/0,0,K
"Garrett Hartley, Pit K",0/0,0/0,0/0,0/0,0/0,0,K
"Dan Carpenter, Buf K",0/0,0/0,0/0,0/0,0/0,0,K
"Brandon Bogotay, TB K",0/0,0/0,0/0,0/0,0/0,0,K
"Zach Hocker, TB K",0/0,0/0,0/0,0/0,0/0,0,K
"Travis Coons, LAC K",0/0,0/0,0/0,0/0,0/0,0,K
"Kasey Redfern, Det K",0/0,0/0,0/0,0/0,0/0,0,K
"Patrick Murray, TB K",0/0,0/0,0/0,0/0,0/0,0,K
"Jordan Gay, Ten K",0/0,0/0,0/0,0/0,0/0,0,K
"Kyle Brindza, NYJ K",0/0,0/0,0/0,0/0,0/0,0,K
"Josh Lambo, Jax K",0/0,0/0,0/0,0/0,0/0,0,K
"Andrew Franks, Mia K",0/0,0/0,0/0,0/0,0/0,0,K
"Roberto Aguayo, LAC K",0/0,0/0,0/0,0/0,0/0,0,K
"Jake Elliott, Phi K",0/0,0/0,0/0,0/0,0/0,0,K
"Harrison Butker, KC K",0/0,0/0,0/0,0/0,0/0,0,K
"Nick Rose, LAC K",0/0,0/0,0/0,0/0,0/0,0,K
"Sam Ficken, LAR K",0/0,0/0,0/0,0/0,0/0,0,K
