Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Stephen Gostkowski, NE",37,41.8,0,48.6,48.6,0,162,K
"Matt Bryant, ATL",33.8,37.4,0,47.8,47.8,0,154,K
"Graham Gano, CAR",33.1,41.4,0,42.7,42.7,0,144,K
"Mason Crosby, GB",30.5,35.5,0,48.1,48.1,0,143,K
"Sebastian Janikowski, SEA",30.8,37.3,0,42.5,42.5,0,138,K
"Chris Boswell, PIT",30.8,34.6,0,42.8,42.8,0,137,K
"Justin Tucker, BAL",31.5,33.6,0,34.9,34.9,0,136,K
"Dustin Hopkins, WAS",31.8,38.5,0,38,38,0,136,K
"Wil Lutz, NO",28.9,35.2,0,46.1,46.1,0,135,K
"Dan Bailey, MIN",29.4,33.6,0,41.8,41.8,0,134,K
"Caleb Sturgis, LAC",29.8,35.2,0,36.3,36.3,0,129,K
"Younghoe Koo, LAC",28.3,34,0,40.5,40.5,0,127,K
"Adam Vinatieri, IND",27.2,30.8,0,38.7,38.7,0,126,K
"Blair Walsh, SEA",28.4,35.3,0,37.3,37.3,0,125,K
"Phil Dawson, ARI",26.3,30.4,0,42.8,42.8,0,123,K
"Cairo Santos, TB",27.9,32,0,38.1,38.1,0,123,K
"Matt Prater, DET",27.3,31.1,0,33.8,33.8,0,122,K
"Nick Folk, TB",27,31.3,0,38.5,38.5,0,121,K
"Jason Myers, NYJ",27.8,34.3,0,32,32,0,121,K
"Kai Forbath, JAC",27.6,30.1,0,34.8,34.8,0,120,K
"Ka'imi Fairbairn, HOU",28.9,34.6,0,31.2,31.2,0,119,K
"Randy Bullock, CIN",27.2,31.6,0,34.1,34.1,0,117,K
"Brandon McManus, DEN",26.8,31,0,33.3,33.3,0,117,K
"Ryan Succop, TEN",23.2,25.5,0,37.9,37.9,0,110,K
"Aldrick Rosas, NYG",23.9,28.6,0,34.1,34.1,0,107,K
"Stephen Hauschka, BUF",22.9,25.3,0,35.8,35.8,0,106,K
"Chandler Catanzaro, CAR",24.2,30.4,0,28.6,28.6,0,103,K
"Connor Barth, CHI",22.6,28.5,0,30.6,30.6,0,100,K
"Robbie Gould, SF",22.2,24.2,0,31,31,0,99,K
"Greg Zuerlein, LAR",20.9,26,0,28.3,28.3,0,93,K
"Cody Parkey, CHI",19.2,24.1,0,33.4,33.4,0,92,K
"Zane Gonzalez, ARI",19.9,23.9,0,25.3,25.3,0,86,K
