Player,Team,GP,Rush Att,Rush Yds,PAT Made,PAT Miss,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,FG Miss 20-29,FG Miss 30-39,FG Miss 40-49,FG Miss 50+,Tack,Ast,Frc Fum,POS
Stephen Gostkowski,NE,16.0,0.0,0.0,45.0,2.0,0.0,16.0,9.0,8.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,K
Robbie Gould,SF,16.0,0.0,0.0,28.0,2.0,0.0,7.0,11.0,17.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,K
Stephen Hauschka,BUF,16.0,0.0,0.0,29.0,0.0,0.0,6.0,9.0,7.0,7.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,K
Dustin Hopkins,WAS,8.0,0.0,0.0,18.0,1.0,1.0,7.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,K
Marshall Koehn,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,K
Younghoe Koo,,4.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,K
Josh Lambo,JAX,10.0,0.0,0.0,22.0,2.0,0.0,2.0,11.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,K
Wil Lutz,NO,16.0,1.0,4.0,47.0,3.0,0.0,10.0,4.0,13.0,4.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,K
Brandon McManus,DEN,15.0,0.0,0.0,27.0,0.0,0.0,6.0,11.0,4.0,3.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,K
Jason Myers,NYJ,6.0,0.0,0.0,15.0,2.0,0.0,4.0,2.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,K
Cody Parkey,CHI,15.0,0.0,0.0,26.0,3.0,0.0,6.0,8.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,K
Matt Prater,DET,16.0,0.0,0.0,40.0,1.0,2.0,4.0,10.0,7.0,7.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,K
Aldrick Rosas,NYG,16.0,0.0,0.0,20.0,3.0,0.0,8.0,3.0,4.0,3.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,K
Nick Rose,,10.0,0.0,0.0,23.0,3.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,K
Cairo Santos,TB,5.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,K
Caleb Sturgis,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
Ryan Succop,TEN,16.0,0.0,0.0,31.0,2.0,0.0,10.0,7.0,16.0,2.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,K
Giorgio Tavecchio,ATL,15.0,0.0,0.0,33.0,1.0,0.0,5.0,5.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,K
Justin Tucker,BAL,16.0,0.0,0.0,39.0,0.0,0.0,7.0,11.0,11.0,5.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,K
Adam Vinatieri,IND,15.0,0.0,0.0,22.0,2.0,0.0,11.0,7.0,6.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,K
Blair Walsh,,16.0,0.0,0.0,37.0,1.0,0.0,6.0,7.0,8.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,K
Greg Zuerlein,LA,14.0,0.0,0.0,44.0,2.0,1.0,8.0,11.0,12.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,K
