Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Charone Peake,NYJ,1.0,0.04,0.0,0.28,3.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Breshad Perriman,CLE,1.0,2.26,0.01,1.39,18.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dante Pettis,SF,1.0,0.58,0.0,3.13,46.08,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Josh Reynolds,LAR,1.0,1.57,0.0,3.17,41.41,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Calvin Ridley,ATL,1.0,2.97,0.0,4.2,52.93,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Andre Roberts,NYJ,1.0,0.46,0.0,0.53,5.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Seth Roberts,OAK,1.0,0.4,0.0,3.35,39.78,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Aldrick Robinson,MIN,1.0,0.01,0.0,1.19,14.78,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Robinson,CHI,1.0,0.07,0.0,3.36,48.89,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demarcus Robinson,KC,1.0,0.02,0.0,1.95,21.13,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chester Rogers,IND,1.0,0.99,0.01,1.75,20.49,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Ross,CIN,1.0,0.67,0.01,2.21,30.95,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Curtis Samuel,CAR,1.0,4.19,0.02,2.8,33.07,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Emmanuel Sanders,DEN,1.0,3.21,0.03,5.98,81.68,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mohamed Sanu,ATL,1.0,1.82,0.0,3.71,46.47,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tajae Sharpe,TEN,1.0,0.71,0.0,2.45,32.58,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Shepard,NYG,1.0,0.11,0.0,0.52,7.33,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sterling Shepard,NYG,1.0,0.33,0.0,4.24,52.54,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Sherfield,ARI,1.0,0.08,0.0,0.38,4.43,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Matthew Slater,NE,1.0,0.06,0.0,0.12,3.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Torrey Smith,CAR,1.0,0.05,0.0,1.18,16.93,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tre'Quan Smith,NO,1.0,0.42,0.0,3.09,46.22,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JuJu Smith-Schuster,PIT,1.0,2.66,0.01,5.95,77.97,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Willie Snead,BAL,1.0,0.6,0.01,2.49,31.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Equanimeous St. Brown,GB,1.0,0.4,0.0,1.47,20.77,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Stills,MIA,1.0,0.13,0.0,2.27,37.25,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
