week,lp_num,proj,score,stack,mppt
17,1,128.85362857142857,149.11142857142858,0,1
17,2,128.70262857142856,158.51142857142858,0,1
17,3,128.45934285714284,162.11142857142858,0,1
17,1,130.03734285714285,163.51142857142858,0,2
17,2,129.93962857142856,155.73142857142858,0,2
17,3,129.54534285714286,168.73142857142858,0,2
17,1,128.19562857142856,144.21142857142857,1,2
17,2,127.86522857142857,150.6714285714286,1,2
17,3,127.65034285714286,166.61142857142858,1,2
17,1,130.03734285714285,163.51142857142858,0,3
17,2,129.93962857142856,155.73142857142858,0,3
17,3,129.54534285714286,168.73142857142858,0,3
17,1,128.73474285714286,178.23142857142858,1,3
17,2,127.59702857142858,168.43142857142857,1,3
17,3,127.44602857142858,180.23142857142858,1,3
17,1,131.63677142857142,116.52000000000001,0,1
17,2,131.29819999999998,103.52000000000001,0,1
17,3,131.1346,105.28000000000002,0,1
17,1,132.38219999999998,94.02000000000001,0,2
17,2,131.74877142857142,114.02000000000002,0,2
17,3,131.41019999999997,101.02000000000002,0,2
17,1,132.38219999999998,94.02000000000001,1,2
17,2,131.74877142857142,114.02000000000002,1,2
17,3,131.49897142857142,147.68,1,2
17,1,132.38219999999998,94.02000000000001,0,3
17,2,131.74877142857142,114.02000000000002,0,3
17,3,131.22477142857142,110.82000000000001,0,3
17,1,132.38219999999998,94.02000000000001,1,3
17,2,131.74877142857142,114.02000000000002,1,3
17,3,131.22477142857142,110.82000000000001,1,3
17,1,134.78837142857142,124.1,0,1
17,2,134.43694285714287,122.1,0,1
17,3,133.91437142857143,115.9,0,1
17,1,134.87637142857142,123.12,0,2
17,2,134.78837142857142,124.1,0,2
17,3,134.00237142857142,114.92,0,2
17,1,134.87637142857142,123.12,1,2
17,2,134.52494285714286,121.12,1,2
17,3,134.00237142857142,114.92,1,2
17,1,134.87637142857142,123.12,0,3
17,2,134.78837142857142,124.1,0,3
17,3,134.00237142857142,114.92,0,3
17,1,134.87637142857142,123.12,1,3
17,2,134.52494285714286,121.12,1,3
17,3,132.65194285714287,117.02000000000001,1,3
17,1,134.6320285714286,138.7,0,1
17,2,134.5514285714286,167.0,0,1
17,3,134.28400000000002,182.42857142857142,0,1
17,1,134.8414285714286,173.9,0,2
17,2,134.6320285714286,138.7,0,2
17,3,134.5514285714286,167.0,0,2
17,1,133.50959999999998,145.98857142857142,1,2
17,2,133.2838857142857,145.27428571428572,1,2
17,3,133.0566,133.98571428571427,1,2
17,1,134.8414285714286,173.9,0,3
17,2,134.6320285714286,138.7,0,3
17,3,134.5514285714286,167.0,0,3
17,1,133.50959999999998,145.98857142857142,1,3
17,2,133.43502857142857,161.66,1,3
17,3,133.2838857142857,145.27428571428572,1,3
17,1,137.90568571428574,150.39999999999998,0,1
17,2,137.37268571428575,151.5142857142857,0,1
17,3,136.9514,145.86153846153843,0,1
17,1,137.90568571428574,150.39999999999998,0,2
17,2,137.42068571428575,138.01428571428573,0,2
17,3,137.15268571428572,141.51428571428573,0,2
17,1,137.16140000000001,148.0142857142857,1,2
17,2,136.45568571428575,159.29999999999998,1,2
17,3,135.21640000000002,146.9142857142857,1,2
17,1,137.90568571428574,150.39999999999998,0,3
17,2,137.42068571428575,138.01428571428573,0,3
17,3,137.2426857142857,145.94285714285715,0,3
17,1,137.16140000000001,148.0142857142857,1,3
17,2,136.45568571428575,159.29999999999998,1,3
17,3,136.01425714285716,152.44285714285712,1,3
17,1,128.84834285714288,129.8657142857143,0,1
17,2,128.63514285714285,134.70571428571427,0,1
17,3,128.5223428571429,125.2657142857143,0,1
17,1,129.29794285714289,149.98571428571427,0,2
17,2,129.15834285714288,128.96571428571428,0,2
17,3,128.95314285714286,139.2057142857143,0,2
17,1,129.29794285714289,149.98571428571427,1,2
17,2,128.97994285714287,145.48571428571427,1,2
17,3,128.87494285714286,151.08571428571426,1,2
17,1,129.29794285714289,149.98571428571427,0,3
17,2,128.87494285714286,151.08571428571426,0,3
17,3,128.71094285714287,138.28571428571428,0,3
17,1,129.29794285714289,149.98571428571427,1,3
17,2,128.95834285714287,117.36571428571429,1,3
17,3,128.41734285714287,130.86571428571426,1,3
17,1,136.06391428571428,106.91428571428573,0,1
17,2,135.82091428571428,105.01428571428572,0,1
17,3,135.61677142857144,92.60000000000001,0,1
17,1,136.77937142857144,86.46,0,2
17,2,136.47037142857144,103.85999999999999,0,2
17,3,136.24651428571428,97.1742857142857,0,2
17,1,136.77937142857144,86.46,1,2
17,2,135.93737142857142,88.36,1,2
17,3,135.59351428571426,97.6742857142857,1,2
17,1,136.77937142857144,86.46,0,3
17,2,136.47037142857144,103.85999999999999,0,3
17,3,136.24651428571428,97.1742857142857,0,3
17,1,136.77937142857144,86.46,1,3
17,2,135.93737142857142,88.36,1,3
17,3,135.63694285714286,117.75999999999999,1,3
17,1,132.07985714285712,183.61714285714288,0,1
17,2,131.90685714285715,182.01714285714286,0,1
17,3,131.80357142857142,158.87428571428572,0,1
17,1,132.84585714285714,159.11714285714285,0,2
17,2,132.47257142857143,169.89428571428573,0,2
17,3,132.30085714285715,138.93714285714287,0,2
17,1,132.84585714285714,159.11714285714285,1,2
17,2,123.72685714285714,158.33714285714288,1,2
17,3,132.45785714285714,160.83714285714285,1,2
17,1,133.28485714285713,163.31714285714287,0,3
17,2,132.99285714285713,179.83714285714285,0,3
17,3,132.84585714285714,159.11714285714285,0,3
17,1,133.28485714285713,163.31714285714287,1,3
17,2,132.99285714285713,179.83714285714285,1,3
17,3,132.82285714285715,161.93714285714287,1,3
17,1,126.24622857142857,121.6942857142857,0,1
17,2,126.00922857142858,122.3942857142857,0,1
17,3,125.79022857142857,121.2942857142857,0,1
17,1,127.45322857142858,125.49428571428571,0,2
17,2,127.20822857142858,108.7942857142857,0,2
17,3,126.76122857142857,115.89428571428572,0,2
17,1,127.45322857142858,125.49428571428571,1,2
17,2,127.20822857142858,108.7942857142857,1,2
17,3,126.76122857142857,115.89428571428572,1,2
17,1,127.45322857142858,125.49428571428571,0,3
17,2,127.20822857142858,108.7942857142857,0,3
17,3,127.02322857142859,128.59428571428572,0,3
17,1,127.45322857142858,125.49428571428571,1,3
17,2,126.91622857142859,134.49428571428572,1,3
17,3,126.76122857142857,115.89428571428572,1,3
17,1,134.99291428571428,165.22857142857143,0,1
17,2,134.79691428571428,157.1285714285714,0,1
17,3,134.4119142857143,155.1285714285714,0,1
17,1,136.0789142857143,154.42857142857142,0,2
17,2,135.4009142857143,148.22857142857143,0,2
17,3,135.20462857142857,156.42857142857144,0,2
17,1,133.45577142857144,135.82857142857142,1,2
17,2,133.2949142857143,123.62857142857143,1,2
17,3,133.1029142857143,135.4,1,2
17,1,136.0789142857143,154.42857142857142,0,3
17,2,135.4009142857143,148.22857142857143,0,3
17,3,135.2552,134.22857142857143,0,3
17,1,133.45577142857144,135.82857142857142,1,3
17,2,133.2949142857143,123.62857142857143,1,3
17,3,133.07722857142855,128.53428571428572,1,3
