Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,@Chi,W 23-17,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,NYJ,W 21-12,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,Atl,L 17-23,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,Bal,L 0-20,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,Pit,L 18-21,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,NYG,W 19-3,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,LAC,W 24-21,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,Ari,W 35-23,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,Sea,W 17-9,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,Oak,L 16-26,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,@LAR,L 9-46,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,@NE,W 42-27,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,@Ten,W 26-16,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,Ind,W 46-9,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Vikings D/ST D/ST,NO,W 29-19,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,KC,L 27-42,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,@Min,L 19-29,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,@Dal,L 3-19,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,@Buf,L 12-21,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,@Wsh,W 30-17,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,@Det,L 23-35,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,@Cle,W 21-18,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,@Den,L 21-24,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,Car,L 3-23,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,@GB,L 9-17,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Redskins D/ST D/ST,Phi,L 17-30,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,@SF,W 23-3,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,@Hou,W 29-7,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,@Cin,W 20-0,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,Jax,L 7-29,--,--,--,--,--,--,--,--,DST
