Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Steelers, PIT",1.0,0.0,3.9,36.4,0.9,1.3,0.26,13.2,184.0,82.0,266,17,DST
"Broncos, DEN",1.1,0.0,2.7,37.7,1.3,1.8,0.3,17.1,207.0,80.0,287,15,DST
"Panthers, CAR",0.8,0.0,3.3,40.5,1.2,1.7,0.26,18.8,173.0,120.0,293,14,DST
"Colts, IND",1.3,0.0,2.4,36.3,0.8,1.1,0.31,19.5,173.0,99.0,272,14,DST
"Texans, HOU",1.1,0.0,2.2,39.7,0.9,1.2,0.3,15.9,180.0,109.0,289,14,DST
"Vikings, MIN",1.1,0.1,2.2,47.1,1.0,1.4,0.42,20.7,261.0,106.0,367,13,DST
"Patriots, NE",0.7,0.0,2.1,40.4,0.9,1.2,0.26,16.6,192.0,103.0,295,12,DST
"Falcons, ATL",1.5,0.1,1.6,44.2,1.0,1.3,0.33,18.5,227.0,141.0,368,12,DST
"Cardinals, ARI",0.8,0.1,3.3,38.4,0.8,1.1,0.25,21.2,201.0,75.0,276,12,DST
"Rams, LAR",1.1,0.0,2.8,43.7,0.6,0.9,0.23,20.3,207.0,94.0,301,11,DST
"Packers, GB",1.2,0.0,2.5,38.9,0.5,0.7,0.26,18.1,232.0,105.0,337,11,DST
"Chargers, LAC",1.4,0.0,3.0,41.5,1.0,1.4,0.27,24.9,201.0,116.0,317,11,DST
"Jaguars, JAC",1.1,0.0,2.1,44.6,0.6,0.8,0.25,23.6,180.0,100.0,280,11,DST
"Bills, BUF",1.1,0.0,2.2,40.7,0.6,0.8,0.23,17.6,233.0,125.0,358,10,DST
"Bengals, CIN",1.1,0.0,1.7,45.7,0.4,0.6,0.23,18.0,249.0,92.0,341,10,DST
"Cowboys, DAL",0.7,0.0,1.6,43.2,0.8,1.1,0.23,17.3,232.0,92.0,324,9,DST
"Eagles, PHI",1.1,0.0,1.8,41.5,0.9,1.3,0.33,26.2,275.0,105.0,380,9,DST
"Raiders, OAK",1.2,0.0,1.9,39.6,0.9,1.3,0.27,21.1,212.0,123.0,335,9,DST
"Lions, DET",1.0,0.1,2.1,44.9,0.8,1.1,0.29,24.3,257.0,114.0,371,9,DST
"Redskins, WAS",0.9,0.0,2.5,45.3,0.7,1.0,0.26,22.2,224.0,120.0,344,9,DST
"Saints, NO",0.5,0.0,1.9,43.2,1.2,1.7,0.21,26.7,234.0,96.0,330,8,DST
"Seahawks, SEA",0.5,0.0,2.8,43.4,0.8,1.1,0.19,24.2,239.0,101.0,340,8,DST
"Ravens, BAL",0.7,0.0,2.2,44.9,0.8,1.2,0.22,21.3,217.0,106.0,323,8,DST
"Chiefs, KC",0.7,0.1,1.8,45.0,0.8,1.2,0.25,25.8,259.0,120.0,379,8,DST
"Titans, TEN",0.7,0.0,1.7,42.6,0.7,1.0,0.2,24.6,239.0,100.0,339,7,DST
"49ers, SF",0.8,0.0,1.9,42.6,0.5,0.7,0.19,25.3,246.0,131.0,377,7,DST
"Jets, NYJ",0.6,0.0,2.4,41.1,0.5,0.6,0.16,26.1,176.0,152.0,328,7,DST
"Giants, NYG",0.5,0.0,1.4,44.3,0.8,1.0,0.16,23.7,220.0,135.0,355,6,DST
"Browns, CLE",0.9,0.0,1.3,43.7,0.3,0.4,0.16,26.2,275.0,120.0,395,6,DST
