Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,Fum Lost,2PT,POS
Rashaad Penny,SEA,1.0,12.03,0.07,0.29,2.76,0.01,0.0,0.01,0.0,RB
Samaje Perine,WAS,1.0,10.16,0.06,0.54,4.41,0.03,0.0,0.03,0.0,RB
Senorise Perry,MIA,1.0,6.45,0.04,0.51,6.21,0.03,0.0,0.01,0.0,RB
Adrian Peterson,WAS,1.0,85.27,0.57,2.01,19.6,0.11,0.0,0.2,0.0,RB
Jalen Richard,OAK,1.0,9.61,0.05,4.47,34.66,0.21,0.0,0.01,0.0,RB
Theo Riddick,DET,1.0,11.98,0.06,3.16,23.9,0.14,0.0,0.01,0.0,RB
Stevan Ridley,PIT,1.0,10.16,0.05,0.51,1.62,0.01,0.0,0.02,0.03,RB
Jacquizz Rodgers,TB,1.0,7.66,0.04,1.18,8.98,0.04,0.0,0.0,0.0,RB
Jaylen Samuels,PIT,1.0,5.9,0.04,0.27,2.63,0.01,0.0,0.01,0.0,RB
Anthony Sherman,KC,1.0,0.0,0.0,0.39,2.24,0.01,0.0,0.0,0.0,RB
Ito Smith,ATL,1.0,30.61,0.28,1.61,12.42,0.08,0.0,0.03,0.0,RB
Keith Smith,OAK,1.0,0.72,0.0,0.8,3.12,0.03,0.0,0.0,0.01,RB
Rod Smith,DAL,1.0,9.16,0.08,0.44,4.13,0.02,0.0,0.01,0.0,RB
Spencer Ware,KC,1.0,11.77,0.09,1.2,10.4,0.05,0.0,0.02,0.0,RB
DeAndre Washington,OAK,1.0,5.03,0.03,0.93,7.88,0.02,0.01,0.01,0.0,RB
Dwayne Washington,NO,1.0,1.33,0.01,0.32,2.28,0.02,0.0,0.0,0.0,RB
Derek Watt,LAC,1.0,0.0,0.0,0.16,0.0,0.01,0.0,0.0,0.0,RB
James White,NE,1.0,30.65,0.22,5.84,54.8,0.43,0.0,0.01,0.04,RB
Damien Williams,KC,1.0,5.4,0.02,0.39,3.3,0.02,0.0,0.01,0.0,RB
Jamaal Williams,GB,1.0,31.24,0.18,1.32,12.1,0.05,0.0,0.0,0.0,RB
Shaun Wilson,TB,1.0,7.14,0.05,0.43,2.43,0.01,0.0,0.01,0.0,RB
