Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Davante Adams,GB,1.0,0.05,0.0,6.8,91.37,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keenan Allen,LAC,1.0,1.44,0.0,5.98,77.5,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Danny Amendola,MIA,1.0,0.19,0.0,4.47,56.96,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robby Anderson,NYJ,1.0,1.18,0.01,3.1,47.31,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Doug Baldwin,SEA,1.0,0.32,0.0,3.68,59.75,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cameron Batson,TEN,1.0,0.12,0.0,0.45,4.79,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cole Beasley,DAL,1.0,0.17,0.0,3.92,46.14,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Bellamy,CHI,1.0,0.18,0.0,1.06,13.92,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kelvin Benjamin,KC,1.0,0.06,0.0,2.22,34.77,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Travis Benjamin,LAC,1.0,1.21,0.0,0.6,8.35,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kendrick Bourne,SF,1.0,0.03,0.0,2.73,36.92,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Brown,PIT,1.0,0.18,0.0,6.42,87.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jaron Brown,SEA,1.0,0.03,0.0,0.56,9.44,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Brown,BAL,1.0,0.63,0.0,3.47,55.81,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Martavis Bryant,OAK,1.0,0.42,0.0,1.56,22.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deontay Burnett,NYJ,1.0,0.39,0.0,2.84,39.93,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Damiere Byrd,CAR,1.0,0.28,0.0,0.51,7.43,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Callaway,CLE,1.0,0.52,0.0,2.44,29.92,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Austin Carr,NO,1.0,0.05,0.0,0.47,6.44,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Leonte Carroo,MIA,1.0,0.05,0.0,0.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jehu Chesson,WAS,1.0,0.08,0.0,0.22,4.88,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammie Coates,FA,1.0,0.13,0.0,0.16,3.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Randall Cobb,GB,1.0,0.97,0.0,4.21,48.52,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Conley,KC,1.0,0.06,0.0,1.74,22.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandin Cooks,LAR,1.0,2.54,0.01,4.46,77.3,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Amari Cooper,DAL,1.0,1.22,0.01,3.0,44.52,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Crabtree,BAL,1.0,0.09,0.0,4.85,60.45,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Davis,TEN,1.0,0.05,0.0,4.03,56.16,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geremy Davis,LAC,1.0,0.06,0.0,0.07,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Doctson,WAS,1.0,0.26,0.0,3.28,44.39,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.04,0.0,0.25,3.95,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julian Edelman,NE,1.0,4.43,0.03,6.08,70.63,0.44,0.01,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Evans,TB,1.0,0.36,0.0,5.34,77.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Floyd,WAS,1.0,0.03,0.0,0.73,10.88,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Devin Funchess,CAR,1.0,0.07,0.0,4.31,66.38,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taylor Gabriel,CHI,1.0,4.26,0.02,3.67,51.81,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Gage,ATL,1.0,0.13,0.0,0.21,3.92,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Gallup,DAL,1.0,0.58,0.0,2.5,39.9,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
