Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,40+ Rush TD,50+ Rush TD,100-199 Rush Yds,200+ Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Blk,Fum Yds,POS
Ameer Abdullah,MIN,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,365.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Josh Adams,PHI,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,511.0,3.0,0.0,0.0,0.0,0.0,7.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Jay Ajayi,PHI,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,184.0,3.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Javorius Allen,BAL,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,110.0,3.0,0.0,0.0,0.0,0.0,35.0,196.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,RB
C.J. Anderson,LA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,403.0,2.0,0.0,0.0,2.0,0.0,5.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Armah,CAR,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Cameron Artis-Payne,CAR,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Kalen Ballage,MIA,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,191.0,1.0,1.0,1.0,1.0,0.0,9.0,56.0,0.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,-6.0,RB
Peyton Barber,TB,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,871.0,5.0,0.0,0.0,1.0,0.0,20.0,92.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Saquon Barkley,NYG,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,1307.0,11.0,4.0,4.0,7.0,0.0,91.0,721.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Kenjon Barner,CAR,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,249.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Giovani Bernard,CIN,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,211.0,3.0,0.0,0.0,0.0,0.0,35.0,218.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,RB
Kapri Bibbs,GB,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,103.0,3.0,0.0,0.0,0.0,0.0,16.0,115.0,1.0,0.0,0.0,0.0,57.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
LeGarrette Blount,DET,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,418.0,5.0,0.0,0.0,0.0,0.0,10.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,499.0,2.0,0.0,0.0,0.0,0.0,20.0,154.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,RB
Tommy Bohanon,JAX,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Bolden,MIA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,91.0,2.0,1.0,1.0,0.0,0.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,RB
Devontae Booker,DEN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,183.0,1.0,0.0,0.0,0.0,0.0,38.0,275.0,0.0,0.0,0.0,0.0,234.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,RB
Mike Boone,MIN,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,47.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Matt Breida,SF,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,814.0,3.0,1.0,1.0,3.0,0.0,27.0,261.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,RB
Malcolm Brown,LA,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,212.0,0.0,0.0,0.0,0.0,0.0,5.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Rex Burkhead,NE,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,186.0,0.0,0.0,0.0,0.0,0.0,14.0,131.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,RB
