Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Bye
Todd Gurley,RB,LAR,1255,11,71,677,4,12
David Johnson,RB,ARI,1356,10,70,646,3,9
Ezekiel Elliott,RB,DAL,1329,12,39,346,2,8
Alvin Kamara,RB,NO,806,7,78,717,4,6
Melvin Gordon,RB,LAC,1042,7,62,502,3,8
Leonard Fournette,RB,JAX,1126,8,48,377,2,9
Saquon Barkley,RB,NYG,1115,8,44,314,2,9
Dalvin Cook,RB,MIN,1094,7,40,315,3,10
Joe Mixon,RB,CIN,1060,7,43,333,2,9
Devonta Freeman,RB,ATL,977,8,46,385,1,8
Christian McCaffrey,RB,CAR,711,5,78,613,4,4
Jordan Howard,RB,CHI,1075,8,20,148,1,5
Alex Collins,RB,BAL,1046,7,28,202,1,10
Jay Ajayi,RB,PHI,982,6,38,236,1,9
Lamar Miller,RB,HOU,853,5,41,296,2,10
Derrick Henry,RB,TEN,851,7,20,165,1,8
Rex Burkhead,RB,NE,648,6,35,285,2,11
Marshawn Lynch,RB,OAK,855,6,24,155,0,7
LeSean McCoy,RB,BUF,729,4,30,247,2,11
Royce Freeman,RB,DEN,776,5,29,194,1,10
Dion Lewis,RB,TEN,615,4,51,345,2,8
Tevin Coleman,RB,ATL,576,5,38,312,2,8
Kenyan Drake,RB,MIA,725,4,38,275,1,11
Marlon Mack,RB,IND,656,4,33,275,2,9
Peyton Barber,RB,TB,705,5,27,212,1,5
Mark Ingram,RB,NO,615,5,27,217,2,6
Isaiah Crowell,RB,NYJ,686,5,31,205,1,11
Devontae Booker,RB,DEN,636,4,33,256,1,10
Duke Johnson,RB,CLE,341,2,64,565,2,11
Alfred Morris,RB,SF,717,6,8,59,0,11
Bilal Powell,RB,NYJ,586,4,31,235,1,11
Chris Thompson,RB,WAS,345,2,56,472,3,4
Kerryon Johnson,RB,DET,667,4,34,202,0,6
Jamaal Williams,RB,GB,608,4,25,196,1,7
Chris Ivory,RB,BUF,555,4,30,205,1,11
Matt Breida,RB,SF,429,3,41,315,2,11
Chris Carson,RB,SEA,555,4,23,185,1,7
Javorius Allen,RB,BAL,472,3,48,286,1,10
Giovani Bernard,RB,CIN,399,2,42,356,2,9
Frank Gore,RB,MIA,565,4,27,182,0,11
James White,RB,NE,215,1,60,472,4,11
Latavius Murray,RB,MIN,555,5,14,92,0,10
Sony Michel,RB,NE,555,4,15,105,0,11
Tarik Cohen,RB,CHI,302,1,50,416,2,5
Corey Clement,RB,PHI,415,3,26,202,1,9
Doug Martin,RB,OAK,526,3,18,145,0,7
Theo Riddick,RB,DET,245,1,54,416,2,6
Rashaad Penny,RB,SEA,495,3,24,161,0,7
Adrian Peterson,RB,WAS,482,4,13,95,0,4
Austin Ekeler,RB,LAC,334,2,36,266,1,8
Nick Chubb,RB,CLE,441,4,11,75,0,11
Wayne Gallman,RB,NYG,325,2,34,245,1,9
Ronald Jones,RB,TB,446,3,17,105,0,5
Samaje Perine,RB,WAS,398,3,22,151,0,4
T.J. Yeldon,RB,JAX,315,2,31,225,1,9
Corey Grant,RB,JAX,274,2,25,202,1,9
Rod Smith,RB,DAL,288,2,22,185,1,8
D'Onta Foreman,RB,HOU,356,2,16,116,1,10
Darren Sproles,RB,PHI,156,1,36,278,2,9
LeGarrette Blount,RB,DET,345,4,2,13,0,6
Aaron Jones,RB,GB,375,2,13,74,0,7
Nyheim Hines,RB,IND,287,1,19,135,1,9
Jalen Richard,RB,OAK,176,2,31,225,0,7
Jordan Wilkins,RB,IND,332,2,9,57,0,9
Spencer Ware,RB,KC,275,2,14,86,0,12
Chase Edmonds,RB,ARI,215,1,24,186,0,9
Malcolm Brown,RB,LAR,317,1,9,67,0,12
Jonathan Stewart,RB,NYG,216,3,5,31,0,9
Kyle Juszczyk,RB,SF,75,0,32,217,1,11
Kenneth Dixon,RB,BAL,235,1,5,32,0,10
Rob Kelley,RB,WAS,179,2,3,23,0,4
Alfred Blue,RB,HOU,214,1,5,36,0,10
Jeremy Hill,RB,NE,167,2,1,9,0,11
Mike Davis,RB,SEA,185,1,7,45,0,7
Jacquizz Rodgers,RB,TB,140,1,16,89,0,5
James Conner,RB,PIT,203,1,2,14,0,7
Elijah McGuire,RB,NYJ,138,0,11,82,0,11
Damien Williams,RB,KC,112,1,5,37,0,12
Cameron Artis-Payne,RB,CAR,125,1,3,19,0,4
John Kelly,RB,LAR,182,0,3,18,0,12
Kalen Ballage,RB,MIA,118,1,2,15,0,11
Mark Walton,RB,CIN,86,0,11,85,0,9
Ito Smith,RB,ATL,145,0,4,26,0,8
J.D. McKissic,RB,SEA,82,0,12,85,0,7
Jaylen Samuels,RB,PIT,82,0,9,64,0,7
Alex Armah,RB,CAR,84,0,8,56,0,4
Marcus Murphy,RB,BUF,88,0,4,29,0,11
Stevan Ridley,RB,PIT,86,0,0,1,0,7
Wendell Smallwood,RB,PHI,67,0,2,13,0,9
Anthony Sherman,RB,KC,35,0,6,42,0,12
T.J. Logan,RB,ARI,55,0,3,22,0,9
David Fluellen,RB,TEN,64,0,1,7,0,8
DeAndre Washington,RB,OAK,55,0,1,5,0,7
C.J. Prosise,RB,SEA,42,0,2,11,0,7
Derek Watt,RB,LAC,20,0,4,26,0,8
Senorise Perry,RB,MIA,22,0,1,6,0,11
C.J. Ham,RB,MIN,11,0,0,0,0,10
