Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Todd Gurley,RB,LAR,1299.4,11.1,66.0,636.4,3.7
Ezekiel Elliott,RB,DAL,1417.2,10.7,42.7,378.6,1.9
David Johnson,RB,ARI,1084.4,8.6,75.3,745.5,3.2
Leonard Fournette,RB,JAX,1198.1,9.6,41.8,345.6,1.4
Melvin Gordon,RB,LAC,1086.7,7.8,56.1,471.6,2.5
Alvin Kamara,RB,NO,788.0,6.7,73.8,706.5,4.1
Saquon Barkley,RB,NYG,1114.6,7.4,55.8,424.0,2.1
Dalvin Cook,RB,MIN,1102.3,7.4,43.4,354.0,1.8
Devonta Freeman,RB,ATL,965.8,7.9,44.9,382.4,1.9
Christian McCaffrey,RB,CAR,683.1,4.3,74.7,672.3,4.2
Jordan Howard,RB,CHI,1069.8,7.7,27.1,195.3,0.7
LeSean McCoy,RB,BUF,919.6,5.4,43.8,359.1,1.7
Joe Mixon,RB,CIN,909.8,6.7,37.7,302.5,1.1
Alex Collins,RB,BAL,995.4,6.8,29.1,228.5,0.9
Derrick Henry,RB,TEN,953.6,7.0,20.4,196.7,1.0
Lamar Miller,RB,HOU,869.7,4.6,36.3,287.7,1.7
Jay Ajayi,RB,PHI,969.7,5.6,26.1,196.8,0.9
Kenyan Drake,RB,MIA,824.3,5.2,41.4,320.6,1.2
Royce Freeman,RB,DEN,859.6,5.6,32.4,263.2,1.1
Marshawn Lynch,RB,OAK,777.3,6.1,22.5,165.9,0.5
Tevin Coleman,RB,ATL,626.0,4.6,33.1,305.3,2.0
Rex Burkhead,RB,NE,544.8,5.5,35.2,301.0,2.0
Mark Ingram,RB,NO,660.0,5.6,33.3,240.1,1.1
Carlos Hyde,RB,JAX,745.0,5.2,28.1,198.4,0.7
Peyton Barber,RB,TB,747.5,5.3,21.5,173.3,0.6
Jamaal Williams,RB,GB,653.3,4.6,25.9,242.8,1.4
Marlon Mack,RB,IND,622.3,4.3,29.3,278.2,1.6
Dion Lewis,RB,TEN,602.9,3.7,41.5,307.1,1.8
Kerryon Johnson,RB,DET,654.5,4.4,32.1,243.4,1.0
Isaiah Crowell,RB,NYJ,699.6,4.4,29.8,204.2,0.7
Alfred Morris,RB,SF,718.2,5.4,16.2,121.5,0.5
Chris Carson,RB,SEA,618.7,4.1,27.0,223.5,1.4
Matt Breida,RB,SF,574.5,3.8,33.8,273.7,1.4
Bilal Powell,RB,NYJ,586.8,3.8,31.3,223.4,0.8
Adrian Peterson,RB,WAS,683.9,5.0,15.0,120.3,0.5
Chris Thompson,RB,WAS,282.8,1.8,55.6,506.5,3.1
Duke Johnson,RB,CLE,296.9,2.1,58.0,518.2,2.1
Giovani Bernard,RB,CIN,414.6,2.3,39.0,343.8,1.5
James White,RB,NE,251.6,2.1,52.0,415.6,3.0
Rashaad Penny,RB,SEA,520.3,3.4,24.3,180.7,0.8
Tarik Cohen,RB,CHI,343.9,1.9,55.3,402.5,1.6
Devontae Booker,RB,DEN,473.7,2.8,30.9,256.3,0.9
C.J. Anderson,RB,LAR,552.9,3.7,13.6,116.6,0.5
Sony Michel,RB,NE,447.7,3.6,24.6,184.7,0.7
Ty Montgomery,RB,BAL,320.7,2.6,40.3,290.8,1.5
Corey Clement,RB,PHI,354.7,3.2,23.0,225.9,1.4
Latavius Murray,RB,MIN,470.4,3.7,18.4,126.3,0.5
Ronald Jones,RB,TB,488.9,2.9,18.2,143.4,0.5
Doug Martin,RB,OAK,459.2,3.5,15.9,129.1,0.4
Theo Riddick,RB,DET,228.5,1.4,49.3,381.2,2.0
Javorius Allen,RB,BAL,374.4,2.7,32.7,211.0,1.0
Frank Gore,RB,MIA,434.9,2.4,24.5,172.9,0.8
Austin Ekeler,RB,LAC,340.3,2.3,29.7,250.8,1.6
Chris Ivory,RB,BUF,433.7,2.8,20.1,141.9,0.7
Aaron Jones,RB,GB,415.6,3.3,14.0,96.0,0.4
T.J. Yeldon,RB,JAX,315.9,1.9,27.3,232.6,0.8
Nick Chubb,RB,CLE,414.3,3.0,13.9,100.1,0.3
LeGarrette Blount,RB,DET,427.2,3.7,6.7,43.4,0.2
Jordan Wilkins,RB,IND,375.4,2.5,16.8,125.4,0.6
Nyheim Hines,RB,IND,284.7,1.7,26.6,209.0,1.1
D'Onta Foreman,RB,HOU,358.1,2.4,11.1,93.7,0.5
