Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Ameer Abdullah,MIN,0.0,0.0,0.0,0.0,1.0,0.0,3.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Josh Adams,PHI,1.0,0.0,0.0,0.0,514.38,3.37,4.74,29.31,0.02,1.11,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jay Ajayi,PHI,0.0,0.0,0.0,0.0,184.0,3.0,5.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Javorius Allen,BAL,0.0,0.0,0.0,0.0,110.0,3.0,35.0,196.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Anderson,LAR,1.0,0.0,0.0,0.0,341.4,1.48,4.05,35.74,1.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Armah,CAR,1.0,0.0,0.0,0.0,16.64,2.01,0.23,0.37,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Cameron Artis-Payne,CAR,1.0,0.0,0.0,0.0,22.62,0.06,1.65,17.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kalen Ballage,MIA,1.0,0.0,0.0,0.0,176.42,1.24,9.34,64.33,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,0.0,0.0,0.0,869.31,5.46,20.3,100.24,1.05,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,0.0,0.0,0.0,1276.81,10.54,91.72,732.99,4.21,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenjon Barner,CAR,1.0,0.0,0.0,0.0,77.94,0.03,1.44,6.39,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,0.0,0.0,0.0,215.77,3.07,34.98,229.65,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.02
Kapri Bibbs,GB,1.0,0.0,0.0,0.0,109.85,3.07,13.84,110.39,1.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeGarrette Blount,DET,1.0,0.0,0.0,0.0,439.16,5.25,11.17,76.11,0.06,1.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,0.0,0.0,0.0,514.16,2.14,19.02,150.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tommy Bohanon,JAX,1.0,0.0,0.0,0.0,0.0,0.0,6.59,44.22,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,0.0,0.0,0.0,106.9,2.15,2.81,11.11,1.03,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,0.0,0.0,0.0,189.31,1.14,35.7,280.81,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Mike Boone,MIN,1.0,0.0,0.0,0.0,55.64,0.05,2.31,2.86,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Matt Breida,SF,0.0,0.0,0.0,0.0,814.0,3.0,27.0,261.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Malcolm Brown,LAR,0.0,0.0,0.0,0.0,212.0,0.0,5.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rex Burkhead,NE,1.0,0.0,0.0,0.0,191.6,0.13,14.53,127.89,0.08,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Michael Burton,CHI,1.0,0.0,0.0,0.0,0.01,0.0,3.19,28.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,0.0,0.0,0.0,108.62,1.07,18.04,154.74,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Carson,SEA,1.0,0.0,0.0,0.0,1102.4,8.63,20.16,168.9,0.07,2.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tra Carson,GB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,0.0,0.0,0.0,1045.28,8.56,19.76,168.46,2.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Clement,PHI,0.0,0.0,0.0,0.0,259.0,2.0,22.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tarik Cohen,CHI,1.0,1.0,1.0,0.0,446.28,2.17,72.05,753.03,5.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Derrick Coleman,ARI,1.0,0.0,0.0,0.0,4.26,0.0,2.45,19.05,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,0.0,0.0,0.0,813.59,3.39,33.12,282.87,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Collins,BAL,0.0,0.0,0.0,0.0,411.0,7.0,15.0,105.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,0.0,0.0,0.0,972.27,12.54,54.68,488.26,1.11,2.06,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
