Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Baltimore Ravens,DST,BAL,18.6,298,1.1,0.6,2.6,0.0,0.29
Los Angeles Chargers,DST,LAC,18.8,405,1.1,0.7,3.0,0.0,0.28
Pittsburgh Steelers,DST,PIT,19.4,337,0.9,1.0,2.7,0.1,0.25
Arizona Cardinals,DST,ARI,16.6,326,0.9,0.9,2.8,0.0,0.26
Chicago Bears,DST,CHI,18.6,334,0.9,1.0,2.5,0.0,0.27
Washington Redskins,DST,WAS,22.5,363,1.2,0.9,2.8,0.0,0.28
Oakland Raiders,DST,OAK,22.8,339,1.4,0.8,2.0,0.0,0.27
Houston Texans,DST,HOU,21.2,298,0.5,1.0,1.7,0.0,0.22
New York Giants,DST,NYG,24.3,413,1.6,0.7,1.5,0.0,0.32
Tennessee Titans,DST,TEN,26.7,345,1.0,0.7,2.8,0.1,0.26
Carolina Panthers,DST,CAR,24.1,319,0.7,0.8,3.2,0.0,0.26
Seattle Seahawks,DST,SEA,22.7,390,0.4,1.1,3.0,0.0,0.25
Detroit Lions,DST,DET,26.5,399,1.0,0.8,2.2,0.0,0.28
Indianapolis Colts,DST,IND,21.7,321,0.9,0.9,2.2,0.0,0.26
Minnesota Vikings,DST,MIN,23.3,318,0.8,0.8,2.6,0.1,0.22
New Orleans Saints,DST,NO,25.2,408,0.8,0.9,2.2,0.0,0.27
Tampa Bay Buccaneers,DST,TB,25.2,383,0.8,1.0,2.2,0.0,0.23
Green Bay Packers,DST,GB,26.3,350,0.8,0.7,2.8,0.0,0.22
Jacksonville Jaguars,DST,JAX,24.8,382,1.1,0.6,1.6,0.1,0.26
Atlanta Falcons,DST,ATL,24.2,391,0.6,0.7,2.5,0.0,0.2
Dallas Cowboys,DST,DAL,25.6,375,0.5,0.8,2.1,0.0,0.22
Cincinnati Bengals,DST,CIN,24.9,318,0.8,0.5,1.2,0.0,0.17
Kansas City Chiefs,DST,KC,33.3,442,0.8,0.7,1.7,0.1,0.3
Los Angeles Rams,DST,LAR,31.6,429,0.7,0.6,2.1,0.0,0.26
Philadelphia Eagles,DST,PHI,33.4,419,0.5,1.2,1.2,0.0,0.26
